M	S_M	sum_abs	cancel_ratio	ln_M
248	6.286848167533737e-1	1.757326419129535e2	0.00357751	5.513429
498	6.378962034718058e-1	2.361590222224582e2	0.00270113	6.210600
750	6.311168671768604e-1	2.751309820540424e2	0.00229388	6.620073
999	6.242015124074385e-1	3.035667204678153e2	0.00205623	6.906755
1248	6.312338030897044e-1	3.256616391567900e2	0.00193831	7.129298
1496	6.300622183464397e-1	3.435640408137552e2	0.00183390	7.310550
1750	6.374826476568386e-1	3.584080015258836e2	0.00177865	7.467371
2002	6.277861978586384e-1	3.708788046478920e2	0.00169270	7.601902
2250	6.259951211875087e-1	3.815515291517009e2	0.00164066	7.718685
2495	6.313914884999494e-1	3.907943534732013e2	0.00161566	7.822044
2748	6.337599569581395e-1	3.988596608311062e2	0.00158893	7.918629
3000	6.323200330391495e-1	4.059325307393297e2	0.00155770	8.006368
3247	6.265614455939041e-1	4.121870592926804e2	0.00152009	8.085487
3495	6.274284527516082e-1	4.177379557092556e2	0.00150197	8.159089
3748	6.315494847582344e-1	4.226765062320621e2	0.00149417	8.228978
3999	6.315827546722609e-1	4.270766518055459e2	0.00147885	8.293800
4250	6.325734078771034e-1	4.310150152177609e2	0.00146764	8.354674
4500	6.311859061316405e-1	4.345444679742328e2	0.00145252	8.411833
4747	6.304652139317511e-1	4.377105343105432e2	0.00144037	8.465268
4995	6.303348026829917e-1	4.405548406092713e2	0.00143077	8.516193
5254	6.305588674083221e-1	4.431041984840679e2	0.00142305	8.566745
5503	6.296778676283745e-1	4.453907461839401e2	0.00141377	8.613049
5755	6.301286755676996e-1	4.474400227180340e2	0.00140830	8.657824
6003	6.302960684953840e-1	4.492753693605852e2	0.00140292	8.700015
6250	6.307871998578152e-1	4.509189903947333e2	0.00139889	8.740337
6500	6.313670910616320e-1	4.523850043270890e2	0.00139564	8.779557
6748	6.313655425082486e-1	4.536894197080946e2	0.00139163	8.817001
7002	6.317738133349029e-1	4.548434018460994e2	0.00138899	8.853951
7252	6.306523286204154e-1	4.558585040615390e2	0.00138344	8.889033
7499	6.302600725473081e-1	4.567480832367183e2	0.00137989	8.922525
7746	6.308875818042666e-1	4.575216249168901e2	0.00137892	8.954932
7999	6.307841761436125e-1	4.581880094512861e2	0.00137669	8.987072
8246	6.305034004999629e-1	4.587535035896146e2	0.00137438	9.017484
8499	6.301973278609841e-1	4.592257990808548e2	0.00137230	9.047704
8746	6.303464110143636e-1	4.596113063480461e2	0.00137148	9.076352
8999	6.304987650962591e-1	4.599168018990264e2	0.00137090	9.104869
9240	6.305263356345531e-1	4.601461555079994e2	0.00137027	9.131297
9494	6.306175823409463e-1	4.603052884214244e2	0.00137000	9.158415
9743	6.306505137518060e-1	4.603978862529599e2	0.00136979	9.184304
9995	6.306540153821597e-1	4.604290424876535e2	0.00136971	9.209840
