band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.946240967272766e-1
1	2	[2,4)	[4,8)	2.635678948628453e-1
1	3	[2,4)	[8,16)	-1.406166153891871e-1
1	4	[2,4)	[16,32)	2.535714455001051e-1
1	5	[2,4)	[32,64)	-1.681319596935070e-1
1	6	[2,4)	[64,128)	3.565493882825847e-2
1	7	[2,4)	[128,256)	-1.014783023912057e-2
1	8	[2,4)	[256,512)	1.654947092199885e-2
1	9	[2,4)	[512,1024)	-6.134666247621025e-3
1	10	[2,4)	[1024,2048)	-4.743525004696797e-3
1	11	[2,4)	[2048,4096)	3.893333658228433e-3
1	12	[2,4)	[4096,8192)	-6.964142100511804e-4
2	1	[4,8)	[2,4)	2.635678948628452e-1
2	2	[4,8)	[4,8)	1.389830631105606e-1
2	3	[4,8)	[8,16)	-6.362789124103851e-2
2	4	[4,8)	[16,32)	9.812792289088842e-2
2	5	[4,8)	[32,64)	-6.817050916478982e-2
2	6	[4,8)	[64,128)	1.415531797391741e-2
2	7	[4,8)	[128,256)	-4.252963310835733e-3
2	8	[4,8)	[256,512)	6.857426422007983e-3
2	9	[4,8)	[512,1024)	-2.557744912690482e-3
2	10	[4,8)	[1024,2048)	-2.003406353440051e-3
2	11	[4,8)	[2048,4096)	1.645712038494829e-3
2	12	[4,8)	[4096,8192)	-2.953344497001559e-4
3	1	[8,16)	[2,4)	-1.406166153891870e-1
3	2	[8,16)	[4,8)	-6.362789124103847e-2
3	3	[8,16)	[8,16)	5.828331323759782e-2
3	4	[8,16)	[16,32)	-7.590112878039704e-2
3	5	[8,16)	[32,64)	4.460181316403738e-2
3	6	[8,16)	[64,128)	-1.063427374271923e-2
3	7	[8,16)	[128,256)	2.875278012327554e-3
3	8	[8,16)	[256,512)	-5.252913390359239e-3
3	9	[8,16)	[512,1024)	1.929371189012671e-3
3	10	[8,16)	[1024,2048)	1.567926557939818e-3
3	11	[8,16)	[2048,4096)	-1.294032524339572e-3
3	12	[8,16)	[4096,8192)	2.337441596240121e-4
4	1	[16,32)	[2,4)	2.535714455001051e-1
4	2	[16,32)	[4,8)	9.812792289088841e-2
4	3	[16,32)	[8,16)	-7.590112878039701e-2
4	4	[16,32)	[16,32)	1.708572748639935e-1
4	5	[16,32)	[32,64)	-1.156014611783807e-1
4	6	[16,32)	[64,128)	2.208692378811861e-2
4	7	[16,32)	[128,256)	-7.719401313219841e-3
4	8	[16,32)	[256,512)	1.279680851507318e-2
4	9	[16,32)	[512,1024)	-4.813373367286431e-3
4	10	[16,32)	[1024,2048)	-3.968997116540626e-3
4	11	[16,32)	[2048,4096)	3.275045548543264e-3
4	12	[16,32)	[4096,8192)	-5.951144446035569e-4
5	1	[32,64)	[2,4)	-1.681319596935069e-1
5	2	[32,64)	[4,8)	-6.817050916478982e-2
5	3	[32,64)	[8,16)	4.460181316403740e-2
5	4	[32,64)	[16,32)	-1.156014611783807e-1
5	5	[32,64)	[32,64)	9.953102782103417e-2
5	6	[32,64)	[64,128)	-2.396057113030203e-2
5	7	[32,64)	[128,256)	5.135184721002973e-3
5	8	[32,64)	[256,512)	-1.100682634436127e-2
5	9	[32,64)	[512,1024)	4.012028349361890e-3
5	10	[32,64)	[1024,2048)	3.405107197911845e-3
5	11	[32,64)	[2048,4096)	-2.824379727803339e-3
5	12	[32,64)	[4096,8192)	5.148181615935439e-4
6	1	[64,128)	[2,4)	3.565493882825846e-2
6	2	[64,128)	[4,8)	1.415531797391742e-2
6	3	[64,128)	[8,16)	-1.063427374271921e-2
6	4	[64,128)	[16,32)	2.208692378811861e-2
6	5	[64,128)	[32,64)	-2.396057113030203e-2
6	6	[64,128)	[64,128)	1.752882131625870e-2
6	7	[64,128)	[128,256)	-5.693550598801664e-3
6	8	[64,128)	[256,512)	2.213926772534652e-3
6	9	[64,128)	[512,1024)	-1.312850778992371e-3
6	10	[64,128)	[1024,2048)	-1.043109398254210e-3
6	11	[64,128)	[2048,4096)	8.101018882320767e-4
