band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	7.429849716655297e-1
1	2	[2,4)	[4,8)	1.871217831329128e-1
1	3	[2,4)	[8,16)	-6.515289747992241e-2
1	4	[2,4)	[16,32)	8.145319696647083e-2
1	5	[2,4)	[32,64)	-3.011409751447254e-2
2	1	[4,8)	[2,4)	1.871217831329128e-1
2	2	[4,8)	[4,8)	1.290410432869187e-2
2	3	[4,8)	[8,16)	-2.837081063256262e-3
2	4	[4,8)	[16,32)	3.789488097331704e-2
2	5	[4,8)	[32,64)	-1.292112441812782e-2
3	1	[8,16)	[2,4)	-6.515289747992238e-2
3	2	[8,16)	[4,8)	-2.837081063256272e-3
3	3	[8,16)	[8,16)	-1.997480755358654e-2
3	4	[8,16)	[16,32)	9.539097519418237e-3
3	5	[8,16)	[32,64)	1.370502424031816e-2
4	1	[16,32)	[2,4)	8.145319696647083e-2
4	2	[16,32)	[4,8)	3.789488097331704e-2
4	3	[16,32)	[8,16)	9.539097519418234e-3
4	4	[16,32)	[16,32)	2.603704037599995e-2
4	5	[16,32)	[32,64)	-6.823624742248945e-3
5	1	[32,64)	[2,4)	-3.011409751447254e-2
5	2	[32,64)	[4,8)	-1.292112441812782e-2
5	3	[32,64)	[8,16)	1.370502424031816e-2
5	4	[32,64)	[16,32)	-6.823624742248943e-3
5	5	[32,64)	[32,64)	6.759689924550993e-3
