M	S_M	sum_abs	cancel_ratio	ln_M
73	1.585500796465607e0	4.686646948992474e1	0.03383017	4.290459
146	1.479938497951994e0	6.235556720043652e1	0.02373386	4.983607
219	1.472896988067157e0	7.156414013280691e1	0.02058149	5.389072
295	1.551417734382988e0	7.795396135776892e1	0.01990172	5.686975
373	1.521782598504059e0	8.259624095835566e1	0.01842436	5.921578
443	1.542503118799472e0	8.611531822422245e1	0.01791206	6.093570
515	1.523672926538422e0	8.889978060115887e1	0.01713922	6.244167
591	1.505058077896566e0	9.109915884888400e1	0.01652110	6.381816
665	1.535713801144535e0	9.286124943451254e1	0.01653772	6.499787
741	1.523779989908868e0	9.428855481150865e1	0.01616082	6.608001
811	1.520725974063808e0	9.543917481126124e1	0.01593398	6.698268
890	1.521549925645197e0	9.636590401669042e1	0.01578930	6.791221
965	1.518303596333345e0	9.710811954189192e1	0.01563519	6.872128
1038	1.523601389937593e0	9.769794957458726e1	0.01559502	6.945051
1113	1.526063137398365e0	9.815607776089283e1	0.01554731	7.014814
1186	1.523799388816371e0	9.850652473674734e1	0.01546902	7.078342
1258	1.522235932206766e0	9.876370284925217e1	0.01541291	7.137278
1330	1.522129281271762e0	9.894063364353079e1	0.01538427	7.192934
1402	1.521334422751662e0	9.904779057394427e1	0.01535960	7.245655
1478	1.521552258703734e0	9.909341995425916e1	0.01535473	7.298445
