M	S_M	sum_abs	cancel_ratio	ln_M
2	4.748237557828608e-1	8.710345118915215e-1	0.54512623	0.693147
3	8.363104958700153e-1	1.581118999919650e0	0.52893583	1.098612
5	1.037285637119172e0	2.011393920066340e0	0.51570487	1.609438
6	8.687481798946446e-1	2.362788266786957e0	0.36767923	1.791759
7	1.024391580771804e0	2.642333556916252e0	0.38768443	1.945910
10	9.076579683271935e-1	2.863688041406725e0	0.31695421	2.302585
11	1.005997609497378e0	3.075933820626581e0	0.32705437	2.397895
13	1.063778687256622e0	3.245978272889852e0	0.32772206	2.564949
14	1.014426618003046e0	3.406350622270748e0	0.29780452	2.639057
15	9.675254048507307e-1	3.542770390276822e0	0.27309854	2.708050
17	1.018236884087369e0	3.669000225807885e0	0.27752434	2.833213
19	1.058398628035630e0	3.767429144713661e0	0.28093392	2.944439
21	1.026704276002513e0	3.844900360575821e0	0.26703014	3.044522
22	9.982993614001149e-1	3.912212479582696e0	0.25517514	3.091042
23	1.020503308056499e0	3.973818945081618e0	0.25680669	3.135494
26	1.006020688357820e0	4.013801023470215e0	0.25064040	3.258097
29	1.015008184068451e0	4.038336739199802e0	0.25134313	3.367296
30	1.022368437347206e0	4.058314889364881e0	0.25191945	3.401197
31	1.028109296939796e0	4.074187268485732e0	0.25234709	3.433987
33	1.024406622558017e0	4.083437403757450e0	0.25086870	3.496508
34	1.022053626245526e0	4.089398627471083e0	0.24992761	3.526361
35	1.020907330746069e0	4.092238073308107e0	0.24947408	3.555348
