M	S_M	sum_abs	cancel_ratio	ln_M
62	1.719658533953530e0	3.276218980661525e1	0.05248912	4.127134
123	1.729851964646832e0	4.311652297272618e1	0.04012040	4.812184
187	1.752540546634179e0	4.978200793660995e1	0.03520430	5.231109
249	1.786219315708027e0	5.505209613793195e1	0.03244598	5.517453
311	1.814029341986120e0	5.905582050189548e1	0.03071720	5.739793
379	1.810136001210639e0	6.226688080798341e1	0.02907061	5.937536
437	1.823849648136423e0	6.511572357031815e1	0.02800936	6.079933
498	1.828032583577036e0	6.753838559713432e1	0.02706657	6.210600
562	1.809526866977067e0	6.964840054656921e1	0.02598088	6.331502
623	1.787575717673550e0	7.142056447519002e1	0.02502887	6.434547
685	1.795516364814236e0	7.290295339026167e1	0.02462886	6.529419
751	1.796455453410575e0	7.414253126036185e1	0.02422976	6.621406
809	1.797360868199969e0	7.518817473916533e1	0.02390483	6.695799
878	1.800340590808472e0	7.607559845309427e1	0.02366515	6.777647
938	1.797833288646455e0	7.676657684465373e1	0.02341948	6.843750
1001	1.797806775491526e0	7.730071024738510e1	0.02325731	6.908755
1065	1.796506220865544e0	7.771760999065539e1	0.02311582	6.970730
1126	1.796565390578039e0	7.800207541272314e1	0.02303228	7.026427
1189	1.797039602049691e0	7.817162022436489e1	0.02298839	7.080868
1249	1.796179041892771e0	7.823774220713959e1	0.02295796	7.130099
