r1	r2	value
0	0	0.000000000000000e0
0	1	0.000000000000000e0
0	2	0.000000000000000e0
0	3	0.000000000000000e0
0	4	0.000000000000000e0
0	5	0.000000000000000e0
0	6	0.000000000000000e0
0	7	0.000000000000000e0
1	0	0.000000000000000e0
1	1	3.914889408933484e-2
1	2	-2.314806623003230e-2
1	3	1.201716327204808e-1
1	4	0.000000000000000e0
1	5	9.235370402428286e-2
1	6	-1.183427227667432e-1
1	7	4.196340685208988e-2
2	0	0.000000000000000e0
2	1	-2.314806623003225e-2
2	2	2.192008358402611e-1
2	3	-6.350376455496007e-3
2	4	0.000000000000000e0
2	5	-4.235284812502409e-2
2	6	5.188891891897052e-2
2	7	-1.690114245136341e-2
3	0	0.000000000000000e0
3	1	1.201716327204811e-1
3	2	-6.350376455496179e-3
3	3	7.426476549140550e-1
3	4	0.000000000000000e0
3	5	5.124744283535957e-1
3	6	-6.103481874457833e-1
3	7	2.415246055362177e-1
4	0	0.000000000000000e0
4	1	0.000000000000000e0
4	2	0.000000000000000e0
4	3	0.000000000000000e0
4	4	0.000000000000000e0
4	5	0.000000000000000e0
4	6	0.000000000000000e0
4	7	0.000000000000000e0
5	0	0.000000000000000e0
5	1	9.235370402428257e-2
5	2	-4.235284812502436e-2
5	3	5.124744283535948e-1
5	4	0.000000000000000e0
5	5	4.426839665922311e-1
5	6	-4.680115043936826e-1
5	7	1.807405004489896e-1
6	0	0.000000000000000e0
6	1	-1.183427227667434e-1
6	2	5.188891891897088e-2
6	3	-6.103481874457842e-1
6	4	0.000000000000000e0
6	5	-4.680115043936829e-1
6	6	5.789432687364646e-1
6	7	-2.270567870970832e-1
7	0	0.000000000000000e0
7	1	4.196340685208994e-2
7	2	-1.690114245136326e-2
7	3	2.415246055362178e-1
7	4	0.000000000000000e0
7	5	1.807405004489896e-1
7	6	-2.270567870970834e-1
7	7	1.194055113058527e-1
