d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	5.070840350425543e-1	5.070840350425543e-1	46.1126	1.000000	1
2	7.199342365284954e-1	7.199342365284954e-1	111.5810	1.500000	2 (prime)
3	3.610178632551260e-1	3.610178632551260e-1	144.4108	1.333333	3 (prime)
5	-2.382425999127646e-1	2.382425999127646e-1	166.0758	1.200000	5 (prime)
6	-1.277181562481158e-1	1.277181562481158e-1	177.6901	2.000000	2·3
7	-4.831526460315916e-2	4.831526460315916e-2	182.0837	1.142857	7 (prime)
10	-2.384736286202739e-2	2.384736286202739e-2	184.2523	1.800000	2·5
11	-7.315081120085841e-2	7.315081120085841e-2	190.9044	1.090909	11 (prime)
13	9.167509984071617e-3	9.167509984071617e-3	191.7381	1.076923	13 (prime)
14	-1.145662267750696e-2	1.145662267750696e-2	192.7799	1.714286	2·7
15	-5.078863921777170e-2	5.078863921777170e-2	197.3985	1.600000	3·5
17	-3.925311611732410e-3	3.925311611732410e-3	197.7554	1.058824	17 (prime)
19	1.716989973997373e-2	1.716989973997373e-2	199.3168	1.052632	19 (prime)
21	4.092953949518160e-3	4.092953949518160e-3	199.6890	1.523810	3·7
22	-4.408941014957857e-3	4.408941014957857e-3	200.0899	1.636364	2·11
23	-1.184983690251362e-2	1.184983690251362e-2	201.1675	1.043478	23 (prime)
26	3.678582440446854e-3	3.678582440446854e-3	201.5020	1.615385	2·13
29	4.100505369759395e-2	4.100505369759395e-2	205.2309	1.034483	29 (prime)
30	4.794486652492360e-3	4.794486652492360e-3	205.6669	2.400000	2·3·5
31	1.628458002861797e-2	1.628458002861797e-2	207.1478	1.032258	31 (prime)
33	-1.981486030191824e-2	1.981486030191824e-2	208.9497	1.454545	3·11
34	-1.912730992573030e-3	1.912730992573030e-3	209.1236	1.588235	2·17
35	-2.691179156927330e-2	2.691179156927330e-2	211.5709	1.371429	5·7
37	3.576997207755961e-3	3.576997207755961e-3	211.8961	1.027027	37 (prime)
38	1.950479049211975e-3	1.950479049211975e-3	212.0735	1.578947	2·19
39	-1.233937652687726e-2	1.233937652687726e-2	213.1956	1.435897	3·13
41	1.282404848455995e-2	1.282404848455995e-2	214.3618	1.024390	41 (prime)
42	5.166490551926788e-3	5.166490551926788e-3	214.8316	2.285714	2·3·7
43	1.125497927659644e-2	1.125497927659644e-2	215.8551	1.023256	43 (prime)
46	-4.134010251246837e-3	4.134010251246837e-3	216.2310	1.565217	2·23
47	-1.464266124956183e-2	1.464266124956183e-2	217.5626	1.021277	47 (prime)
51	5.072696616626766e-3	5.072696616626766e-3	218.0239	1.411765	3·17
53	4.757010133644159e-3	4.757010133644159e-3	218.4565	1.018868	53 (prime)
55	-7.025571696382355e-3	7.025571696382355e-3	219.0954	1.309091	5·11
57	-5.036340585344337e-3	5.036340585344337e-3	219.5534	1.403509	3·19
58	2.500608806414002e-3	2.500608806414002e-3	219.7807	1.551724	2·29
59	-1.318573718140710e-2	1.318573718140710e-2	220.9798	1.016949	59 (prime)
61	-3.299665859863955e-3	3.299665859863955e-3	221.2799	1.016393	61 (prime)
62	4.199853187616709e-3	4.199853187616709e-3	221.6618	1.548387	2·31
65	2.760246375440395e-3	2.760246375440395e-3	221.9128	1.292308	5·13
66	3.121459031600951e-3	3.121459031600951e-3	222.1967	2.181818	2·3·11
67	6.308588222073691e-3	6.308588222073691e-3	222.7703	1.014925	67 (prime)
69	6.750233641056131e-3	6.750233641056131e-3	223.3842	1.391304	3·23
70	3.123874623174013e-3	3.123874623174013e-3	223.6683	2.057143	2·5·7
71	-7.178655022253682e-5	7.178655022253682e-5	223.6748	1.014085	71 (prime)
73	-2.070698939876112e-3	2.070698939876112e-3	223.8631	1.013699	73 (prime)
74	3.622386204902456e-3	3.622386204902456e-3	224.1925	1.540541	2·37
77	2.649639720491570e-3	2.649639720491570e-3	224.4335	1.246753	7·11
78	3.452024420720290e-4	3.452024420720290e-4	224.4648	2.153846	2·3·13
79	5.362113039427468e-4	5.362113039427468e-4	224.5136	1.012658	79 (prime)
82	4.615313249528225e-4	4.615313249528225e-4	224.5556	1.536585	2·41
83	-4.995681713324937e-3	4.995681713324937e-3	225.0099	1.012048	83 (prime)
85	-4.430804828711133e-3	4.430804828711133e-3	225.4128	1.270588	5·17
86	2.092428509184830e-3	2.092428509184830e-3	225.6031	1.534884	2·43
87	-2.414321800406803e-3	2.414321800406803e-3	225.8226	1.379310	3·29
89	1.189290052131841e-4	1.189290052131841e-4	225.8334	1.011236	89 (prime)
91	1.071595611099203e-3	1.071595611099203e-3	225.9309	1.230769	7·13
93	1.532886587147465e-3	1.532886587147465e-3	226.0703	1.376344	3·31
94	3.306492369608048e-3	3.306492369608048e-3	226.3710	1.531915	2·47
95	-1.258357559727739e-3	1.258357559727739e-3	226.4854	1.263158	5·19
97	2.024720935006028e-3	2.024720935006028e-3	226.6695	1.010309	97 (prime)
101	5.218571451183481e-3	5.218571451183481e-3	227.1441	1.009901	101 (prime)
102	1.292921638385965e-3	1.292921638385965e-3	227.2616	2.117647	2·3·17
103	3.897642351610010e-3	3.897642351610010e-3	227.6161	1.009709	103 (prime)
105	3.539178893726804e-3	3.539178893726804e-3	227.9379	1.828571	3·5·7
106	2.212971011664827e-3	2.212971011664827e-3	228.1392	1.528302	2·53
107	-9.791753320288385e-4	9.791753320288385e-4	228.2282	1.009346	107 (prime)
109	4.321660064466348e-4	4.321660064466348e-4	228.2675	1.009174	109 (prime)
110	1.551424702361190e-3	1.551424702361190e-3	228.4086	1.963636	2·5·11
111	2.430070035642018e-3	2.430070035642018e-3	228.6296	1.369369	3·37
113	1.075858603556848e-3	1.075858603556848e-3	228.7274	1.008850	113 (prime)
114	1.874444281187436e-3	1.874444281187436e-3	228.8979	2.105263	2·3·19
115	1.413595942735889e-3	1.413595942735889e-3	229.0264	1.252174	5·23
118	2.205005306488503e-3	2.205005306488503e-3	229.2269	1.525424	2·59
119	1.441300075076462e-4	1.441300075076462e-4	229.2400	1.210084	7·17
122	1.899336802444306e-3	1.899336802444306e-3	229.4128	1.524590	2·61
123	-1.601115763181609e-4	1.601115763181609e-4	229.4273	1.365854	3·41
127	-3.698727881696738e-4	3.698727881696738e-4	229.4609	1.007874	127 (prime)
129	6.926054743564872e-4	6.926054743564872e-4	229.5239	1.364341	3·43
130	7.900472795569463e-4	7.900472795569463e-4	229.5958	1.938462	2·5·13
131	2.915970509066399e-4	2.915970509066399e-4	229.6223	1.007634	131 (prime)
133	-9.279175392311712e-4	9.279175392311712e-4	229.7067	1.203008	7·19
134	2.913084486462979e-3	2.913084486462979e-3	229.9716	1.522388	2·67
137	1.182174589487612e-3	1.182174589487612e-3	230.0791	1.007299	137 (prime)
138	1.079934595815258e-3	1.079934595815258e-3	230.1773	2.086957	2·3·23
139	3.161911788578886e-4	3.161911788578886e-4	230.2060	1.007194	139 (prime)
141	9.000712007313853e-4	9.000712007313853e-4	230.2879	1.361702	3·47
142	4.265459518068853e-4	4.265459518068853e-4	230.3267	1.521127	2·71
