M	S_M	sum_abs	cancel_ratio	ln_M
2	5.133621934798024e-1	1.108466492089125e0	0.46312829	0.693147
3	9.162929567705183e-1	2.046344772421476e0	0.44777057	1.098612
5	1.142050300225032e0	2.655687701965485e0	0.43003938	1.609438
6	9.491179025124236e-1	3.168827379339934e0	0.29951707	1.791759
7	1.138455519724056e0	3.586579277700822e0	0.31742098	1.945910
10	9.856992518448924e-1	3.881141936322266e0	0.25397145	2.302585
11	1.129290041226095e0	4.146135075903472e0	0.27237174	2.397895
13	1.204348020627653e0	4.443033664314041e0	0.27106435	2.564949
14	1.137034240366560e0	4.707095340090153e0	0.24155751	2.639057
15	1.073734855387027e0	4.927733269964381e0	0.21789630	2.708050
17	1.159782585513626e0	5.138274602628674e0	0.22571440	2.833213
19	1.235042579966226e0	5.315421289473131e0	0.23235084	2.944439
21	1.184753824378197e0	5.483560826480796e0	0.21605556	3.044522
22	1.138385350464015e0	5.636557399330012e0	0.20196465	3.091042
23	1.180458180132111e0	5.768437888035014e0	0.20464088	3.135494
26	1.147550459715680e0	5.875435466853707e0	0.19531326	3.258097
29	1.175113761160540e0	5.967750956280884e0	0.19691066	3.367296
30	1.199632032026907e0	6.046911530991904e0	0.19838756	3.401197
31	1.221835446479984e0	6.125709855631696e0	0.19946022	3.433987
33	1.202902932645031e0	6.193509559977707e0	0.19421992	3.496508
34	1.188680673076770e0	6.257585836070825e0	0.18995835	3.526361
35	1.177533645412174e0	6.322066877719076e0	0.18625770	3.555348
37	1.190103034250469e0	6.378491962017914e0	0.18658063	3.610918
38	1.184573758393014e0	6.435609969222454e0	0.18406550	3.637586
39	1.179697799817343e0	6.487536074809606e0	0.18184065	3.663562
41	1.184535878763429e0	6.531614134986166e0	0.18135423	3.713572
42	1.189609847778293e0	6.571919690432841e0	0.18101406	3.737670
43	1.194690075535130e0	6.609325707635817e0	0.18075824	3.761200
46	1.191299349025326e0	6.637751585105414e0	0.17947333	3.828641
47	1.197485583735949e0	6.665403000765808e0	0.17965689	3.850148
51	1.193629193970800e0	6.682171516587215e0	0.17862894	3.931826
53	1.196453217226422e0	6.694326798605512e0	0.17872644	3.970292
55	1.194233333669169e0	6.702784881877299e0	0.17816972	4.007333
57	1.192865480181894e0	6.707791538173296e0	0.17783282	4.043051
58	1.192045483820431e0	6.711080904016529e0	0.17762347	4.060443
59	1.192441313970004e0	6.712669173641651e0	0.17764041	4.077537
