band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	7.198210084666199e-1
1	2	[2,4)	[4,8)	1.762180683116684e-1
1	3	[2,4)	[8,16)	-5.744759723594312e-2
1	4	[2,4)	[16,32)	6.438551980382318e-2
1	5	[2,4)	[32,64)	-2.085891560281382e-2
2	1	[4,8)	[2,4)	1.762180683116684e-1
2	2	[4,8)	[4,8)	1.421067015312256e-2
2	3	[4,8)	[8,16)	-3.778738336306040e-3
2	4	[4,8)	[16,32)	2.923615152113756e-2
2	5	[4,8)	[32,64)	-8.698775258659589e-3
3	1	[8,16)	[2,4)	-5.744759723594312e-2
3	2	[8,16)	[4,8)	-3.778738336306046e-3
3	3	[8,16)	[8,16)	9.978796587235267e-3
3	4	[8,16)	[16,32)	-1.033289901754432e-2
3	5	[8,16)	[32,64)	6.912147136220419e-3
4	1	[16,32)	[2,4)	6.438551980382316e-2
4	2	[16,32)	[4,8)	2.923615152113756e-2
4	3	[16,32)	[8,16)	-1.033289901754432e-2
4	4	[16,32)	[16,32)	1.941865847589277e-2
4	5	[16,32)	[32,64)	-7.255772247132876e-3
5	1	[32,64)	[2,4)	-2.085891560281382e-2
5	2	[32,64)	[4,8)	-8.698775258659589e-3
5	3	[32,64)	[8,16)	6.912147136220419e-3
5	4	[32,64)	[16,32)	-7.255772247132875e-3
5	5	[32,64)	[32,64)	3.376280827698232e-3
