power	lambda_min
1	1.799412822595423e-2
2	1.821959470969945e-2
3	1.830193434729641e-2
4	1.829945507942216e-2
5	1.824639974930866e-2
6	1.820009124458422e-2
7	1.816793055025894e-2
8	1.811021502815097e-2
9	1.791364860437324e-2
10	1.777726482902839e-2
11	1.750225533816927e-2
12	1.732303926220243e-2
