M	S_M	sum_abs	cancel_ratio	ln_M
46	8.361565054599505e-1	3.162298583953361e1	0.02644142	3.828641
95	8.603537905999861e-1	4.100680238653619e1	0.02098076	4.553877
145	8.429649293946999e-1	4.714271717747987e1	0.01788113	4.976734
195	9.139732616251612e-1	5.152249907328880e1	0.01773930	5.273000
241	9.046313197660596e-1	5.516661865776462e1	0.01639817	5.484797
293	9.078218813058861e-1	5.808495950504526e1	0.01562921	5.680173
345	9.286806320314643e-1	6.052275787758898e1	0.01534432	5.843544
395	9.172681681478032e-1	6.255175333507741e1	0.01466415	5.978886
442	9.821808621050007e-1	6.432599440549623e1	0.01526880	6.091310
489	9.625101612342942e-1	6.584845556446834e1	0.01461705	6.192362
541	9.628821836336007e-1	6.710537770657108e1	0.01434881	6.293419
590	9.771470177284848e-1	6.819945515502093e1	0.01432778	6.380123
641	9.573554545404102e-1	6.908956628471660e1	0.01385673	6.463029
687	9.574499434169613e-1	6.984267326287389e1	0.01370867	6.532334
739	9.673065540713294e-1	7.044731962436614e1	0.01373092	6.605298
787	9.687784606306814e-1	7.090718204811371e1	0.01366263	6.668228
834	9.715248525406830e-1	7.127252784192599e1	0.01363113	6.726233
889	9.691720457211179e-1	7.152562624994009e1	0.01355000	6.790097
937	9.682973445472383e-1	7.168245169380987e1	0.01350815	6.842683
986	9.686260660154887e-1	7.174587185696268e1	0.01350079	6.893656
