M	S_M	sum_abs	cancel_ratio	ln_M
5	1.255290975872247e0	3.650634263572021e0	0.34385558	1.609438
10	1.074440530226829e0	5.560180980912951e0	0.19323841	2.302585
14	1.273025149872709e0	6.671623935941145e0	0.19081189	2.639057
19	1.412229604935198e0	7.667891186320553e0	0.18417445	2.944439
23	1.322287365848751e0	8.390937989138621e0	0.15758517	3.135494
30	1.363583320337723e0	8.964970323473745e0	0.15210126	3.401197
34	1.333429757640154e0	9.426595575011360e0	0.14145401	3.526361
38	1.314503426790598e0	9.851612016823918e0	0.13343029	3.637586
42	1.335054092987031e0	1.022964168686679e1	0.13050839	3.737670
47	1.368369836721762e0	1.057288728253866e1	0.12942253	3.850148
55	1.344414445171015e0	1.084618285393818e1	0.12395277	4.007333
59	1.323486015488556e0	1.107101242566484e1	0.11954517	4.077537
65	1.313903024283026e0	1.125920487338310e1	0.11669590	4.174387
69	1.319158318273031e0	1.142972320839149e1	0.11541472	4.234107
73	1.356832016080138e0	1.159027673733112e1	0.11706640	4.290459
78	1.348376742144525e0	1.172532937105121e1	0.11499692	4.356709
83	1.355803354118719e0	1.184123242706402e1	0.11449850	4.418841
87	1.344856710414024e0	1.193994258566447e1	0.11263511	4.465908
93	1.346272058748724e0	1.202124932422045e1	0.11199103	4.532599
97	1.347456737211311e0	1.209026575499424e1	0.11144972	4.574711
103	1.348182832077712e0	1.213404175455868e1	0.11110748	4.634729
107	1.348446971543073e0	1.216620165622649e1	0.11083549	4.672829
111	1.349142896789753e0	1.218871582751227e1	0.11068786	4.709530
115	1.349547000755253e0	1.220206776311578e1	0.11059986	4.744932
