d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.645204133762103e0	1.645204133762103e0	91.5946	1.000000	1
2	3.955396414239782e-1	3.955396414239782e-1	113.6158	1.500000	2 (prime)
3	1.924746145189621e-1	1.924746145189621e-1	124.3315	1.333333	3 (prime)
5	-2.196748386315036e-1	2.196748386315036e-1	136.5616	1.200000	5 (prime)
6	-8.422828302041944e-2	8.422828302041944e-2	141.2509	2.000000	2·3
7	-9.465930803669198e-2	9.465930803669198e-2	146.5210	1.142857	7 (prime)
10	-1.401130145362115e-2	1.401130145362115e-2	147.3010	1.800000	2·5
11	-3.247554236337972e-2	3.247554236337972e-2	149.1091	1.090909	11 (prime)
13	3.065902884937112e-2	3.065902884937112e-2	150.8160	1.076923	13 (prime)
14	-5.774862956679037e-4	5.774862956679037e-4	150.8481	1.714286	2·7
15	-3.248719830121920e-2	3.248719830121920e-2	152.6568	1.600000	3·5
17	8.984287515109450e-4	8.984287515109450e-4	152.7068	1.058824	17 (prime)
19	4.577060171775484e-3	4.577060171775484e-3	152.9617	1.052632	19 (prime)
21	5.745309990953925e-3	5.745309990953925e-3	153.2815	1.523810	3·7
22	-4.517099450771543e-4	4.517099450771543e-4	153.3067	1.636364	2·11
23	-1.908518201516156e-3	1.908518201516156e-3	153.4129	1.043478	23 (prime)
26	6.223699886120708e-3	6.223699886120708e-3	153.7594	1.615385	2·13
29	1.345412430938794e-2	1.345412430938794e-2	154.5085	1.034483	29 (prime)
30	-2.385166390184412e-3	2.385166390184412e-3	154.6412	2.400000	2·3·5
31	5.031901128731632e-3	5.031901128731632e-3	154.9214	1.032258	31 (prime)
33	-2.659571131975123e-3	2.659571131975123e-3	155.0695	1.454545	3·11
34	3.935857046492104e-3	3.935857046492104e-3	155.2886	1.588235	2·17
35	-1.423084103079049e-3	1.423084103079049e-3	155.3678	1.371429	5·7
