r1	r2	value
0	0	0.000000000000000e0
0	1	0.000000000000000e0
0	2	0.000000000000000e0
0	3	0.000000000000000e0
0	4	0.000000000000000e0
0	5	0.000000000000000e0
0	6	0.000000000000000e0
0	7	0.000000000000000e0
1	0	0.000000000000000e0
1	1	1.378414526480608e-2
1	2	5.102441019076320e-3
1	3	5.997301407665146e-2
1	4	0.000000000000000e0
1	5	4.342361607152588e-2
1	6	-5.144023695837734e-2
1	7	1.986442954267107e-2
2	0	0.000000000000000e0
2	1	5.102441019076316e-3
2	2	1.610671264225053e-1
2	3	1.080819047046940e-1
2	4	0.000000000000000e0
2	5	5.635476542262852e-2
2	6	-5.892237445550529e-2
2	7	2.760186156126961e-2
3	0	0.000000000000000e0
3	1	5.997301407665151e-2
3	2	1.080819047046939e-1
3	3	4.596963251709434e-1
3	4	0.000000000000000e0
3	5	2.924273497084641e-1
3	6	-3.270610084632058e-1
3	7	1.372033645255954e-1
4	0	0.000000000000000e0
4	1	0.000000000000000e0
4	2	0.000000000000000e0
4	3	0.000000000000000e0
4	4	0.000000000000000e0
4	5	0.000000000000000e0
4	6	0.000000000000000e0
4	7	0.000000000000000e0
5	0	0.000000000000000e0
5	1	4.342361607152590e-2
5	2	5.635476542262851e-2
5	3	2.924273497084642e-1
5	4	0.000000000000000e0
5	5	2.333785024145838e-1
5	6	-2.333624394627042e-1
5	7	9.667629466380429e-2
6	0	0.000000000000000e0
6	1	-5.144023695837734e-2
6	2	-5.892237445550531e-2
6	3	-3.270610084632058e-1
6	4	0.000000000000000e0
6	5	-2.333624394627042e-1
6	6	2.726065427617353e-1
6	7	-1.131307764198982e-1
7	0	0.000000000000000e0
7	1	1.986442954267108e-2
7	2	2.760186156126960e-2
7	3	1.372033645255953e-1
7	4	0.000000000000000e0
7	5	9.667629466380430e-2
7	6	-1.131307764198982e-1
7	7	6.135671143837571e-2
