M	S_M	sum_abs	cancel_ratio	ln_M
501	2.092814606870159e0	1.558063117535859e2	0.01343216	6.216606
1006	2.144199181125576e0	2.043333080998925e2	0.01049364	6.913737
1506	2.035224157406640e0	2.364425449635036e2	0.00860769	7.317212
2015	1.982932710742934e0	2.615670085328741e2	0.00758097	7.608374
2513	1.964719332020475e0	2.821785090901149e2	0.00696268	7.829233
3019	1.896052696768870e0	2.991194263755434e2	0.00633878	8.012681
3518	1.863429927752381e0	3.133398470119942e2	0.00594699	8.165648
4027	1.841585893054315e0	3.254536778996489e2	0.00565852	8.300777
4530	1.848727233185953e0	3.358123585534179e2	0.00550524	8.418477
5029	1.853792874601953e0	3.445882377472830e2	0.00537973	8.522976
5539	1.849476335495493e0	3.521663855242269e2	0.00525171	8.619569
6043	1.852526071279814e0	3.586467845442236e2	0.00516532	8.706656
6541	1.860888906294601e0	3.641085845155415e2	0.00511081	8.785845
7051	1.862658000486085e0	3.685883576469056e2	0.00505349	8.860925
7553	1.871044480381213e0	3.721797684351932e2	0.00502726	8.929700
8051	1.869386086520918e0	3.750063242408011e2	0.00498495	8.993552
8554	1.865915555009941e0	3.771441647897403e2	0.00494749	9.054154
9057	1.869608557436997e0	3.786145297606342e2	0.00493803	9.111293
9561	1.875096162024311e0	3.794683272173743e2	0.00494138	9.165448
10063	1.875712579027706e0	3.797596052028667e2	0.00493921	9.216621
