d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	7.015599240863909e-1	7.015599240863909e-1	45.0416	1.000000	1
2	4.209842104447080e-1	4.209842104447080e-1	72.0697	1.500000	2 (prime)
3	-7.521218855372463e-3	7.521218855372463e-3	72.5526	1.333333	3 (prime)
5	3.585428217235639e-3	3.585428217235639e-3	72.7828	1.200000	5 (prime)
6	2.082066424030002e-1	2.082066424030002e-1	86.1501	2.000000	2·3
7	5.790877805428427e-3	5.790877805428427e-3	86.5219	1.142857	7 (prime)
10	5.432511979932880e-2	5.432511979932880e-2	90.0097	1.800000	2·5
11	5.209019634120950e-3	5.209019634120950e-3	90.3441	1.090909	11 (prime)
13	4.871783132978686e-3	4.871783132978686e-3	90.6569	1.076923	13 (prime)
14	2.621602150604952e-2	2.621602150604952e-2	92.3400	1.714286	2·7
15	9.912543696482118e-3	9.912543696482118e-3	92.9764	1.600000	3·5
17	3.790752348525455e-3	3.790752348525455e-3	93.2198	1.058824	17 (prime)
19	3.383005739065197e-3	3.383005739065197e-3	93.4370	1.052632	19 (prime)
21	5.024448042690500e-3	5.024448042690500e-3	93.7596	1.523810	3·7
22	1.055696292365528e-2	1.055696292365528e-2	94.4374	1.636364	2·11
23	2.691133318621518e-3	2.691133318621518e-3	94.6101	1.043478	23 (prime)
26	7.528990601276367e-3	7.528990601276367e-3	95.0935	1.615385	2·13
29	2.137487422990817e-3	2.137487422990817e-3	95.2307	1.034483	29 (prime)
30	8.686703812366463e-3	8.686703812366463e-3	95.7884	2.400000	2·3·5
31	1.973794647322474e-3	1.973794647322474e-3	95.9152	1.032258	31 (prime)
33	1.996252022551760e-3	1.996252022551760e-3	96.0433	1.454545	3·11
34	4.436546754185997e-3	4.436546754185997e-3	96.3282	1.588235	2·17
35	1.657704130959622e-3	1.657704130959622e-3	96.4346	1.371429	5·7
37	1.603514016505850e-3	1.603514016505850e-3	96.5375	1.027027	37 (prime)
38	3.565299136415823e-3	3.565299136415823e-3	96.7664	1.578947	2·19
39	1.363527296770234e-3	1.363527296770234e-3	96.8540	1.435897	3·13
41	1.444116480462823e-3	1.444116480462823e-3	96.9467	1.024390	41 (prime)
42	4.174719141729229e-3	4.174719141729229e-3	97.2147	2.285714	2·3·7
43	1.369323264817153e-3	1.369323264817153e-3	97.3026	1.023256	43 (prime)
46	2.465221855377163e-3	2.465221855377163e-3	97.4609	1.565217	2·23
47	1.218613670243877e-3	1.218613670243877e-3	97.5392	1.021277	47 (prime)
51	7.401381063050577e-4	7.401381063050577e-4	97.5867	1.411765	3·17
