band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	8.311676934306977e-1
1	2	[2,4)	[4,8)	2.293957200818970e-1
1	3	[2,4)	[8,16)	-9.530488499962569e-2
1	4	[2,4)	[16,32)	1.485367680890470e-1
1	5	[2,4)	[32,64)	-8.264006987655570e-2
1	6	[2,4)	[64,128)	1.326608179658098e-2
1	7	[2,4)	[128,256)	-1.303616641629551e-3
2	1	[4,8)	[2,4)	2.293957200818970e-1
2	2	[4,8)	[4,8)	6.814394727751883e-3
2	3	[4,8)	[8,16)	3.666219161692911e-3
2	4	[4,8)	[16,32)	7.534776818977880e-2
2	5	[4,8)	[32,64)	-3.827958839872632e-2
2	6	[4,8)	[64,128)	5.618372119081148e-3
2	7	[4,8)	[128,256)	-5.241162299485690e-4
3	1	[8,16)	[2,4)	-9.530488499962571e-2
3	2	[8,16)	[4,8)	3.666219161692906e-3
3	3	[8,16)	[8,16)	5.372402805429431e-3
3	4	[8,16)	[16,32)	-1.035802324083080e-2
3	5	[8,16)	[32,64)	1.085846378730806e-2
3	6	[8,16)	[64,128)	2.053491012521528e-2
3	7	[8,16)	[128,256)	6.958151758846179e-4
4	1	[16,32)	[2,4)	1.485367680890471e-1
4	2	[16,32)	[4,8)	7.534776818977883e-2
4	3	[16,32)	[8,16)	-1.035802324083080e-2
4	4	[16,32)	[16,32)	3.842716182105513e-2
4	5	[16,32)	[32,64)	-1.339082138129911e-2
4	6	[16,32)	[64,128)	2.711521336819968e-3
4	7	[16,32)	[128,256)	-1.509683940929239e-3
5	1	[32,64)	[2,4)	-8.264006987655570e-2
5	2	[32,64)	[4,8)	-3.827958839872632e-2
5	3	[32,64)	[8,16)	1.085846378730807e-2
5	4	[32,64)	[16,32)	-1.339082138129911e-2
5	5	[32,64)	[32,64)	1.799752077878332e-2
5	6	[32,64)	[64,128)	6.027701890669247e-5
5	7	[32,64)	[128,256)	2.250578168392746e-3
6	1	[64,128)	[2,4)	1.326608179658099e-2
6	2	[64,128)	[4,8)	5.618372119081147e-3
6	3	[64,128)	[8,16)	2.053491012521528e-2
6	4	[64,128)	[16,32)	2.711521336819971e-3
6	5	[64,128)	[32,64)	6.027701890669044e-5
6	6	[64,128)	[64,128)	-1.405020951012089e-3
6	7	[64,128)	[128,256)	-1.051706661709419e-3
7	1	[128,256)	[2,4)	-1.303616641629551e-3
7	2	[128,256)	[4,8)	-5.241162299485684e-4
7	3	[128,256)	[8,16)	6.958151758846191e-4
7	4	[128,256)	[16,32)	-1.509683940929239e-3
7	5	[128,256)	[32,64)	2.250578168392746e-3
7	6	[128,256)	[64,128)	-1.051706661709419e-3
7	7	[128,256)	[128,256)	3.318514428723401e-4
