M	S_M	sum_abs	cancel_ratio	ln_M
123	1.539618188051901e0	7.281241996104107e1	0.02114499	4.812184
249	1.547451722959315e0	9.559717315955015e1	0.01618721	5.517453
379	1.562437755286694e0	1.091960548396439e2	0.01430855	5.937536
498	1.569422672017728e0	1.184891700500302e2	0.01324528	6.210600
623	1.558641650942719e0	1.253021390716757e2	0.01243907	6.434547
751	1.560274297524699e0	1.304808484406987e2	0.01195788	6.621406
878	1.553870984664065e0	1.345140483737328e2	0.01155174	6.777647
1001	1.553646311446479e0	1.376971072244499e2	0.01128307	6.908755
1126	1.565527861726916e0	1.402421455554279e2	0.01116303	7.026427
1249	1.559096896787448e0	1.422936348054271e2	0.01095690	7.130099
1371	1.553152728676729e0	1.439536311252251e2	0.01078926	7.223296
1497	1.556633985015993e0	1.452939422070214e2	0.01071369	7.311218
1619	1.560880175524240e0	1.463678740308914e2	0.01066409	7.389564
1751	1.560217101400932e0	1.472139332848733e2	0.01059830	7.467942
1879	1.558666045140282e0	1.478650141874931e2	0.01054114	7.538495
2002	1.556959510215855e0	1.483524665048359e2	0.01049500	7.601902
2127	1.557219853028893e0	1.487041085774474e2	0.01047194	7.662468
2251	1.556924720016300e0	1.489375133025498e2	0.01045354	7.719130
2377	1.557396368531974e0	1.490683850459963e2	0.01044753	7.773594
2495	1.557581671091280e0	1.491100896032478e2	0.01044585	7.822044
