omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-1.472633115930021e0
0	2	1.126243465836995e0
0	3	-2.366766773296687e-1
0	4	9.065605650390000e-3
1	0	-1.472633115930021e0
1	1	1.270202519233365e1
1	2	-1.189058876336355e1
1	3	3.376683846293436e0
1	4	-1.915334338485385e-1
2	0	1.126243465836995e0
2	1	-1.189058876336355e1
2	2	1.265397481387651e1
2	3	-3.828884157382173e0
2	4	2.436150762509639e-1
3	0	-2.366766773296687e-1
3	1	3.376683846293436e0
3	2	-3.828884157382173e0
3	3	1.226488389993980e0
3	4	-7.473480371795102e-2
4	0	9.065605650390000e-3
4	1	-1.915334338485385e-1
4	2	2.436150762509639e-1
4	3	-7.473480371795102e-2
4	4	4.395358211790546e-3
