M	S_M	sum_abs	cancel_ratio	ln_M
14	5.987277999750300e-1	1.449572457489145e1	0.04130375	2.639057
31	7.567361543973059e-1	1.918261658098447e1	0.03944906	3.433987
46	6.834112546163139e-1	2.205267823933224e1	0.03098994	3.828641
65	6.179187765862446e-1	2.421050892046526e1	0.02552275	4.174387
79	7.482783336117929e-1	2.598668972716904e1	0.02879468	4.369448
95	6.901013915484501e-1	2.751759305461556e1	0.02507855	4.553877
111	7.237511178940775e-1	2.875576554279065e1	0.02516890	4.709530
130	7.049620968353675e-1	2.978017323394867e1	0.02367220	4.867534
145	6.926170340040677e-1	3.065680853410532e1	0.02259260	4.976734
163	6.814115709691867e-1	3.141616680801607e1	0.02168984	5.093750
181	6.987098803033369e-1	3.203776111168504e1	0.02180895	5.198497
195	6.999941701817419e-1	3.255675315928488e1	0.02150074	5.273000
211	7.043217325081391e-1	3.301169501751937e1	0.02133552	5.351858
226	7.228719495828237e-1	3.341214218401356e1	0.02163501	5.420535
241	7.189791130136636e-1	3.374956723033831e1	0.02130336	5.484797
259	7.195657026498804e-1	3.401778889796886e1	0.02115263	5.556828
277	7.228479217204133e-1	3.423275528738766e1	0.02111568	5.624018
293	7.264673600716098e-1	3.439726651865574e1	0.02111992	5.680173
310	7.228304939831426e-1	3.451679486034912e1	0.02094141	5.736572
326	7.218982955415624e-1	3.460170329498264e1	0.02086309	5.786897
345	7.219891935640717e-1	3.465118580022063e1	0.02083592	5.843544
