M	S_M	sum_abs	cancellation_ratio	ln_M
5	1.272518142155445e0	3.385846262276967e0	0.37583459	1.609438
6	1.022570716502601e0	4.153902373004408e0	0.24617110	1.791759
13	1.336073255174788e0	6.189709417098119e0	0.21585395	2.564949
17	1.219626432544282e0	7.196941233942196e0	0.16946455	2.833213
21	1.228388753899647e0	7.694327514967793e0	0.15964862	3.044522
29	1.217970650487686e0	8.456429010549531e0	0.14402896	3.367296
33	1.257872141885239e0	8.870604357757705e0	0.14180230	3.496508
37	1.225349872167308e0	9.214586577638654e0	0.13297937	3.610918
41	1.198559772143144e0	9.502611913401440e0	0.12612951	3.713572
53	1.236638815781648e0	9.921908271460653e0	0.12463719	3.970292
57	1.214653237327163e0	1.001592095465416e1	0.12127225	4.043051
61	1.222948602525326e0	1.013797519861146e1	0.12063046	4.110874
65	1.207332881323163e0	1.020558523025384e1	0.11830119	4.174387
69	1.214850674757392e0	1.029035684796429e1	0.11805720	4.234107
73	1.230701603473897e0	1.035978614534284e1	0.11879604	4.290459
77	1.222272318561207e0	1.039677161256826e1	0.11756268	4.343805
85	1.226874276604735e0	1.046116943856559e1	0.11727888	4.442651
89	1.224493152504201e0	1.048520957227118e1	0.11678290	4.488636
93	1.222345835241850e0	1.049470436360853e1	0.11647263	4.532599
97	1.221296304484910e0	1.050266822966544e1	0.11628438	4.574711
