band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.570796918330853e-1
1	2	[2,4)	[4,8)	2.476671040801395e-1
1	3	[2,4)	[8,16)	-1.277055794940251e-1
1	4	[2,4)	[16,32)	2.244300420543195e-1
1	5	[2,4)	[32,64)	-1.448229304023110e-1
1	6	[2,4)	[64,128)	2.955862503365519e-2
1	7	[2,4)	[128,256)	-7.314496786554141e-3
1	8	[2,4)	[256,512)	1.063091326291902e-2
1	9	[2,4)	[512,1024)	-4.316452229100923e-3
1	10	[2,4)	[1024,2048)	-4.552595593033162e-4
2	1	[4,8)	[2,4)	2.476671040801396e-1
2	2	[4,8)	[4,8)	1.274579912897598e-1
2	3	[4,8)	[8,16)	-5.645420127939702e-2
2	4	[4,8)	[16,32)	8.476527516265228e-2
2	5	[4,8)	[32,64)	-5.731304467197228e-2
2	6	[4,8)	[64,128)	1.146478096429126e-2
2	7	[4,8)	[128,256)	-2.993536454486621e-3
2	8	[4,8)	[256,512)	4.297299188097787e-3
2	9	[4,8)	[512,1024)	-1.759965675637874e-3
2	10	[4,8)	[1024,2048)	-1.882873473721042e-4
3	1	[8,16)	[2,4)	-1.277055794940251e-1
3	2	[8,16)	[4,8)	-5.645420127939699e-2
3	3	[8,16)	[8,16)	5.013312122740033e-2
3	4	[8,16)	[16,32)	-6.332425564956934e-2
3	5	[8,16)	[32,64)	3.620369798676367e-2
3	6	[8,16)	[64,128)	-8.312581274113780e-3
3	7	[8,16)	[128,256)	1.948056376809378e-3
3	8	[8,16)	[256,512)	-3.173977872135226e-3
3	9	[8,16)	[512,1024)	1.290937137017165e-3
3	10	[8,16)	[1024,2048)	1.416131154382634e-4
4	1	[16,32)	[2,4)	2.244300420543195e-1
4	2	[16,32)	[4,8)	8.476527516265230e-2
4	3	[16,32)	[8,16)	-6.332425564956932e-2
4	4	[16,32)	[16,32)	1.388173388703355e-1
4	5	[16,32)	[32,64)	-9.139459692456947e-2
4	6	[16,32)	[64,128)	1.690834229499888e-2
4	7	[16,32)	[128,256)	-5.097932077082448e-3
4	8	[16,32)	[256,512)	7.530043675349622e-3
4	9	[16,32)	[512,1024)	-3.134462445367478e-3
4	10	[16,32)	[1024,2048)	-3.512397302366248e-4
5	1	[32,64)	[2,4)	-1.448229304023110e-1
5	2	[32,64)	[4,8)	-5.731304467197227e-2
