r1	r2	value
0	0	0.000000000000000e0
0	1	0.000000000000000e0
0	2	0.000000000000000e0
0	3	0.000000000000000e0
0	4	0.000000000000000e0
0	5	0.000000000000000e0
0	6	0.000000000000000e0
0	7	0.000000000000000e0
1	0	0.000000000000000e0
1	1	1.987025766838165e-2
1	2	-2.009733228624388e-3
1	3	7.682229117236451e-2
1	4	0.000000000000000e0
1	5	5.801529949724628e-2
1	6	-7.005872452921659e-2
1	7	2.688977462878485e-2
2	0	0.000000000000000e0
2	1	-2.009733228624406e-3
2	2	1.728227772160272e-1
2	3	7.466527909963681e-2
2	4	0.000000000000000e0
2	5	2.738111769187479e-2
2	6	-2.822990034637167e-2
2	7	1.414620807006091e-2
3	0	0.000000000000000e0
3	1	7.682229117236453e-2
3	2	7.466527909963647e-2
3	3	5.506390385600294e-1
3	4	0.000000000000000e0
3	5	3.675954554057127e-1
3	6	-4.181792700794780e-1
3	7	1.743952700149483e-1
4	0	0.000000000000000e0
4	1	0.000000000000000e0
4	2	0.000000000000000e0
4	3	0.000000000000000e0
4	4	0.000000000000000e0
4	5	0.000000000000000e0
4	6	0.000000000000000e0
4	7	0.000000000000000e0
5	0	0.000000000000000e0
5	1	5.801529949724629e-2
5	2	2.738111769187474e-2
5	3	3.675954554057127e-1
5	4	0.000000000000000e0
5	5	3.067800483553233e-1
5	6	-3.125155993699525e-1
5	7	1.282705213437026e-1
6	0	0.000000000000000e0
6	1	-7.005872452921658e-2
6	2	-2.822990034637162e-2
6	3	-4.181792700794780e-1
6	4	0.000000000000000e0
6	5	-3.125155993699526e-1
6	6	3.698128525997906e-1
6	7	-1.528861103339722e-1
7	0	0.000000000000000e0
7	1	2.688977462878487e-2
7	2	1.414620807006089e-2
7	3	1.743952700149482e-1
7	4	0.000000000000000e0
7	5	1.282705213437027e-1
7	6	-1.528861103339722e-1
7	7	8.203941244915859e-2
