omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-1.867945501428254e0
0	2	1.745267269500581e0
0	3	-5.160137709671614e-1
0	4	4.418395972038176e-2
0	5	-3.603579630927857e-4
1	0	-1.867945501428254e0
1	1	3.074927539686621e1
1	2	-3.932540872765896e1
1	3	1.517292088371758e1
1	4	-1.637439135957220e0
1	5	1.635111189287056e-2
2	0	1.745267269500581e0
2	1	-3.932540872765896e1
2	2	5.457352577044573e1
2	3	-2.237657209144691e1
2	4	2.536601920588631e0
2	5	-2.640325095377285e-2
3	0	-5.160137709671614e-1
3	1	1.517292088371758e1
3	2	-2.237657209144691e1
3	3	9.709117973643188e0
3	4	-1.161496119065139e0
3	5	1.271885370383814e-2
4	0	4.418395972038176e-2
4	1	-1.637439135957220e0
4	2	2.536601920588631e0
4	3	-1.161496119065139e0
4	4	1.483302662605752e-1
4	5	-1.752322193548257e-3
5	0	-3.603579630927857e-4
5	1	1.635111189287056e-2
5	2	-2.640325095377285e-2
5	3	1.271885370383814e-2
5	4	-1.752322193548257e-3
5	5	2.475122498187649e-5
