band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.685273053385278e-1
1	2	[2,4)	[4,8)	2.973179148472632e-1
1	3	[2,4)	[8,16)	-1.444916857863550e-1
1	4	[2,4)	[16,32)	2.587485915812605e-1
1	5	[2,4)	[32,64)	-1.696994162535049e-1
1	6	[2,4)	[64,128)	3.597643137366362e-2
1	7	[2,4)	[128,256)	-1.015876842988716e-2
1	8	[2,4)	[256,512)	1.660666599929968e-2
1	9	[2,4)	[512,1024)	-6.151647370861473e-3
1	10	[2,4)	[1024,2048)	-4.779187559036903e-3
1	11	[2,4)	[2048,4096)	3.950570386301618e-3
1	12	[2,4)	[4096,8192)	-7.293013174139458e-4
2	1	[4,8)	[2,4)	2.973179148472632e-1
2	2	[4,8)	[4,8)	5.491408243598031e-4
2	3	[4,8)	[8,16)	1.714357203278370e-2
2	4	[4,8)	[16,32)	1.458613651869170e-1
2	5	[4,8)	[32,64)	-8.716137980026889e-2
2	6	[4,8)	[64,128)	1.705378716151725e-2
2	7	[4,8)	[128,256)	-4.456425276372754e-3
2	8	[4,8)	[256,512)	7.107586932168525e-3
2	9	[4,8)	[512,1024)	-2.614893958747842e-3
2	10	[4,8)	[1024,2048)	-2.028067548172698e-3
2	11	[4,8)	[2048,4096)	1.676567394550969e-3
2	12	[4,8)	[4096,8192)	-3.099595837961773e-4
3	1	[8,16)	[2,4)	-1.444916857863549e-1
3	2	[8,16)	[4,8)	1.714357203278372e-2
3	3	[8,16)	[8,16)	3.739016098317246e-4
3	4	[8,16)	[16,32)	-1.026203794415125e-3
3	5	[8,16)	[32,64)	5.276383015769442e-3
3	6	[8,16)	[64,128)	9.067737280794233e-2
3	7	[8,16)	[128,256)	5.634345120898404e-3
3	8	[8,16)	[256,512)	-7.192032847867459e-3
3	9	[8,16)	[512,1024)	2.445619456824451e-3
3	10	[8,16)	[1024,2048)	1.648701287130733e-3
3	11	[8,16)	[2048,4096)	-1.358540613694247e-3
3	12	[8,16)	[4096,8192)	2.494695537028319e-4
4	1	[16,32)	[2,4)	2.587485915812606e-1
4	2	[16,32)	[4,8)	1.458613651869171e-1
4	3	[16,32)	[8,16)	-1.026203794415125e-3
4	4	[16,32)	[16,32)	2.731154223836140e-3
4	5	[16,32)	[32,64)	-2.488189643514677e-3
4	6	[16,32)	[64,128)	-3.246910605298495e-2
4	7	[16,32)	[128,256)	1.024640761446823e-1
4	8	[16,32)	[256,512)	6.878863431008961e-2
4	9	[16,32)	[512,1024)	-2.163072645648446e-2
4	10	[16,32)	[1024,2048)	-4.640975904505859e-3
4	11	[16,32)	[2048,4096)	3.790423787615089e-3
4	12	[16,32)	[4096,8192)	-6.674233714614346e-4
5	1	[32,64)	[2,4)	-1.696994162535049e-1
5	2	[32,64)	[4,8)	-8.716137980026892e-2
5	3	[32,64)	[8,16)	5.276383015769394e-3
5	4	[32,64)	[16,32)	-2.488189643514676e-3
5	5	[32,64)	[32,64)	2.350931975381754e-3
5	6	[32,64)	[64,128)	-7.373656303504926e-4
5	7	[32,64)	[128,256)	5.174185153896753e-4
5	8	[32,64)	[256,512)	-4.477750610954605e-3
5	9	[32,64)	[512,1024)	6.719125756037272e-2
5	10	[32,64)	[1024,2048)	-7.320944498930262e-2
5	11	[32,64)	[2048,4096)	-5.074391648518230e-3
5	12	[32,64)	[4096,8192)	6.616404997853636e-4
6	1	[64,128)	[2,4)	3.597643137366359e-2
6	2	[64,128)	[4,8)	1.705378716151725e-2
6	3	[64,128)	[8,16)	9.067737280794233e-2
6	4	[64,128)	[16,32)	-3.246910605298495e-2
6	5	[64,128)	[32,64)	-7.373656303504927e-4
6	6	[64,128)	[64,128)	-1.204840588598283e-2
6	7	[64,128)	[128,256)	-5.449551488699034e-3
6	8	[64,128)	[256,512)	-1.844158956310576e-2
6	9	[64,128)	[512,1024)	-8.053561551144421e-3
6	10	[64,128)	[1024,2048)	-9.081918463204357e-4
6	11	[64,128)	[2048,4096)	-6.568868435009116e-2
6	12	[64,128)	[4096,8192)	3.079762211296946e-3
7	1	[128,256)	[2,4)	-1.015876842988718e-2
7	2	[128,256)	[4,8)	-4.456425276372756e-3
7	3	[128,256)	[8,16)	5.634345120898382e-3
7	4	[128,256)	[16,32)	1.024640761446823e-1
7	5	[128,256)	[32,64)	5.174185153896764e-4
7	6	[128,256)	[64,128)	-5.449551488699031e-3
