r1	r2	value
0	0	0.000000000000000e0
0	1	0.000000000000000e0
0	2	0.000000000000000e0
0	3	0.000000000000000e0
0	4	0.000000000000000e0
0	5	0.000000000000000e0
0	6	0.000000000000000e0
0	7	0.000000000000000e0
1	0	0.000000000000000e0
1	1	3.184446439571244e-2
1	2	-1.493993124441009e-2
1	3	1.053746768750503e-1
1	4	0.000000000000000e0
1	5	8.016697965401241e-2
1	6	-1.013064072794857e-1
1	7	3.704199873251179e-2
2	0	0.000000000000000e0
2	1	-1.493993124441020e-2
2	2	1.993414176416893e-1
2	3	2.452284293603967e-2
2	4	0.000000000000000e0
2	5	-1.495114846426595e-2
2	6	2.078679142539354e-2
2	7	-5.353174851706334e-3
3	0	0.000000000000000e0
3	1	1.053746768750501e-1
3	2	2.452284293603984e-2
3	3	6.755087258088678e-1
3	4	0.000000000000000e0
3	5	4.604953393788533e-1
3	6	-5.426546966121820e-1
3	7	2.185584537030180e-1
4	0	0.000000000000000e0
4	1	0.000000000000000e0
4	2	0.000000000000000e0
4	3	0.000000000000000e0
4	4	0.000000000000000e0
4	5	0.000000000000000e0
4	6	0.000000000000000e0
4	7	0.000000000000000e0
5	0	0.000000000000000e0
5	1	8.016697965401244e-2
5	2	-1.495114846426569e-2
5	3	4.604953393788534e-1
5	4	0.000000000000000e0
5	5	3.917517317211189e-1
5	6	-4.112966824662249e-1
5	7	1.622050486143953e-1
6	0	0.000000000000000e0
6	1	-1.013064072794858e-1
6	2	2.078679142539347e-2
6	3	-5.426546966121819e-1
6	4	0.000000000000000e0
6	5	-4.112966824662245e-1
6	6	5.037148926259857e-1
6	7	-2.009840529289024e-1
7	0	0.000000000000000e0
7	1	3.704199873251177e-2
7	2	-5.353174851706420e-3
7	3	2.185584537030178e-1
7	4	0.000000000000000e0
7	5	1.622050486143954e-1
7	6	-2.009840529289023e-1
7	7	1.059019640958529e-1
