omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-2.212497581962296e0
0	2	2.351995372748706e0
0	3	-8.516310105049701e-1
0	4	1.078721517788890e-1
0	5	-2.996992650754826e-3
1	0	-2.212497581962296e0
1	1	4.776944125213894e1
1	2	-7.427431528252777e1
1	3	3.938097382939340e1
1	4	-7.755149727271013e0
1	5	3.667216817556561e-1
2	0	2.351995372748706e0
2	1	-7.427431528252777e1
2	2	1.250502976928336e2
2	3	-6.923954621543621e1
2	4	1.416982952256217e1
2	5	-6.927469730219465e-1
3	0	-8.516310105049701e-1
3	1	3.938097382939340e1
3	2	-6.923954621543621e1
3	3	3.921363759767438e1
3	4	-8.096228333907591e0
3	5	4.042208339111286e-1
4	0	1.078721517788890e-1
4	1	-7.755149727271013e0
4	2	1.416982952256217e1
4	3	-8.096228333907591e0
4	4	1.651296184751605e0
4	5	-8.120454181564327e-2
5	0	-2.996992650754826e-3
5	1	3.667216817556561e-1
5	2	-6.927469730219465e-1
5	3	4.042208339111286e-1
5	4	-8.120454181564327e-2
5	5	3.738056249178062e-3
