M	S_M	sum_abs	cancel_ratio	ln_M
11	1.356994873179393e0	8.185780033484811e0	0.16577466	2.397895
22	1.341537237666290e0	1.124250707320331e1	0.11932723	3.091042
34	1.439771154691253e0	1.322320878931852e1	0.10888213	3.526361
43	1.465348711535113e0	1.473018796625255e1	0.09947929	3.761200
58	1.414353802100608e0	1.597308772667046e1	0.08854605	4.060443
69	1.426878890875184e0	1.691476758967853e1	0.08435699	4.234107
79	1.495179972444578e0	1.773570321360517e1	0.08430339	4.369448
91	1.481169030720414e0	1.845334344651791e1	0.08026562	4.510860
103	1.492649638452068e0	1.906523624742323e1	0.07829169	4.634729
113	1.502237738428950e0	1.957459784084815e1	0.07674425	4.727388
127	1.486949614534792e0	1.999622323619187e1	0.07436152	4.844187
138	1.491172748834603e0	2.034169292783183e1	0.07330623	4.927254
149	1.468478736203491e0	2.064346974894094e1	0.07113527	5.003946
161	1.456560870901517e0	2.089684149830279e1	0.06970244	5.081404
174	1.489486663070024e0	2.110287588161437e1	0.07058216	5.159055
185	1.484926159529580e0	2.125814161823241e1	0.06985212	5.220356
195	1.491422424349331e0	2.138180093832521e1	0.06975196	5.273000
206	1.486490623701523e0	2.147627762616849e1	0.06921547	5.327876
217	1.484234375246534e0	2.154015515506936e1	0.06890546	5.379897
227	1.483844996296103e0	2.158102630115610e1	0.06875692	5.424950
238	1.483939179070987e0	2.159639608721685e1	0.06871235	5.472271
