r1	r2	value
0	0	0.000000000000000e0
0	1	0.000000000000000e0
0	2	0.000000000000000e0
0	3	0.000000000000000e0
0	4	0.000000000000000e0
0	5	0.000000000000000e0
0	6	0.000000000000000e0
0	7	0.000000000000000e0
1	0	0.000000000000000e0
1	1	4.484709458337444e-2
1	2	-2.943014988826095e-2
1	3	1.304317473660603e-1
1	4	0.000000000000000e0
1	5	1.007251645713558e-1
1	6	-1.304889351542287e-1
1	7	4.567535792905064e-2
2	0	0.000000000000000e0
2	1	-2.943014988826093e-2
2	2	2.346311279128139e-1
2	3	-2.772281219810888e-2
2	4	0.000000000000000e0
2	5	-6.132575580504009e-2
2	6	7.367666195590328e-2
2	7	-2.553793974867298e-2
3	0	0.000000000000000e0
3	1	1.304317473660599e-1
3	2	-2.772281219810934e-2
3	3	7.859223523420955e-1
3	4	0.000000000000000e0
3	5	5.451237526287607e-1
3	6	-6.541588198602464e-1
3	7	2.573619703063871e-1
4	0	0.000000000000000e0
4	1	0.000000000000000e0
4	2	0.000000000000000e0
4	3	0.000000000000000e0
4	4	0.000000000000000e0
4	5	0.000000000000000e0
4	6	0.000000000000000e0
4	7	0.000000000000000e0
5	0	0.000000000000000e0
5	1	1.007251645713559e-1
5	2	-6.132575580504061e-2
5	3	5.451237526287604e-1
5	4	0.000000000000000e0
5	5	4.751331359788111e-1
5	6	-5.042229289147718e-1
5	7	1.933183161136042e-1
6	0	0.000000000000000e0
6	1	-1.304889351542289e-1
6	2	7.367666195590289e-2
6	3	-6.541588198602478e-1
6	4	0.000000000000000e0
6	5	-5.042229289147726e-1
6	6	6.287739531530075e-1
6	7	-2.455264470979403e-1
7	0	0.000000000000000e0
7	1	4.567535792905044e-2
7	2	-2.553793974867282e-2
7	3	2.573619703063858e-1
7	4	0.000000000000000e0
7	5	1.933183161136044e-1
7	6	-2.455264470979407e-1
7	7	1.296407064617023e-1
