M	S_M	sum_abs	cancel_ratio	ln_M
23	1.432732645737776e0	1.774616269557181e1	0.08073479	3.135494
47	1.470011601467501e0	2.451749871382384e1	0.05995765	3.850148
73	1.475716810480303e0	2.855674049944676e1	0.05167665	4.290459
97	1.380677842905131e0	3.139563419211512e1	0.04397675	4.574711
122	1.431920857165773e0	3.348771749526357e1	0.04275958	4.804021
146	1.404855354378011e0	3.507017873048547e1	0.04005840	4.983607
174	1.441239151660296e0	3.629784948030833e1	0.03970591	5.159055
197	1.456907109745670e0	3.727014274066864e1	0.03909046	5.283204
219	1.406445561642895e0	3.806348189056458e1	0.03695000	5.389072
246	1.432303172429962e0	3.871674143305782e1	0.03699441	5.505332
269	1.428743734981608e0	3.923681942012056e1	0.03641334	5.594711
295	1.440993435804692e0	3.965689408855400e1	0.03633652	5.686975
319	1.434437997211678e0	3.999224074554643e1	0.03586791	5.765191
346	1.423842648437115e0	4.026075083985774e1	0.03536553	5.846439
373	1.429644611854252e0	4.046365481794544e1	0.03533157	5.921578
397	1.427390250651576e0	4.061532019900914e1	0.03514413	5.983936
419	1.428084854166169e0	4.072941838922223e1	0.03506274	6.037871
443	1.431710522613336e0	4.080795879568802e1	0.03508410	6.093570
466	1.430698499677614e0	4.085655021564631e1	0.03501760	6.144186
491	1.430573569446302e0	4.087857888439565e1	0.03499568	6.196444
