band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.102835246435234e-1
1	2	[2,4)	[4,8)	2.682382134267773e-1
1	3	[2,4)	[8,16)	-1.233365100081148e-1
1	4	[2,4)	[16,32)	2.112465601090658e-1
1	5	[2,4)	[32,64)	-1.321272821349404e-1
1	6	[2,4)	[64,128)	2.616292985283401e-2
1	7	[2,4)	[128,256)	-5.634103215085546e-3
1	8	[2,4)	[256,512)	7.139456998151713e-3
1	9	[2,4)	[512,1024)	-2.330900032848847e-3
2	1	[4,8)	[2,4)	2.682382134267773e-1
2	2	[4,8)	[4,8)	2.284363034972519e-3
2	3	[4,8)	[8,16)	1.151681825977167e-2
2	4	[4,8)	[16,32)	1.143233237993101e-1
2	5	[4,8)	[32,64)	-6.519014222784619e-2
2	6	[4,8)	[64,128)	1.188915777921471e-2
2	7	[4,8)	[128,256)	-2.382979050963069e-3
2	8	[4,8)	[256,512)	2.938378079359412e-3
2	9	[4,8)	[512,1024)	-9.523876280463336e-4
3	1	[8,16)	[2,4)	-1.233365100081148e-1
3	2	[8,16)	[4,8)	1.151681825977166e-2
3	3	[8,16)	[8,16)	1.464865538386894e-3
3	4	[8,16)	[16,32)	-3.723173887570148e-3
3	5	[8,16)	[32,64)	7.301483306216315e-3
3	6	[8,16)	[64,128)	5.737031887475967e-2
3	7	[8,16)	[128,256)	2.920913246025437e-3
3	8	[8,16)	[256,512)	-2.853280875493602e-3
3	9	[8,16)	[512,1024)	8.156345444515920e-4
4	1	[16,32)	[2,4)	2.112465601090658e-1
4	2	[16,32)	[4,8)	1.143233237993101e-1
4	3	[16,32)	[8,16)	-3.723173887570148e-3
4	4	[16,32)	[16,32)	1.168310186725563e-2
4	5	[16,32)	[32,64)	-1.055241688903511e-2
4	6	[16,32)	[64,128)	-1.554291157365679e-2
4	7	[16,32)	[128,256)	4.550393969243852e-2
4	8	[16,32)	[256,512)	2.507924414831418e-2
4	9	[16,32)	[512,1024)	-5.783057696126863e-3
5	1	[32,64)	[2,4)	-1.321272821349404e-1
5	2	[32,64)	[4,8)	-6.519014222784619e-2
5	3	[32,64)	[8,16)	7.301483306216308e-3
5	4	[32,64)	[16,32)	-1.055241688903511e-2
5	5	[32,64)	[32,64)	2.787292270910355e-3
5	6	[32,64)	[64,128)	1.147465490528705e-2
5	7	[32,64)	[128,256)	-2.711733932798833e-2
5	8	[32,64)	[256,512)	-3.188465410809252e-3
5	9	[32,64)	[512,1024)	3.804635198875647e-3
6	1	[64,128)	[2,4)	2.616292985283399e-2
6	2	[64,128)	[4,8)	1.188915777921471e-2
6	3	[64,128)	[8,16)	5.737031887475966e-2
6	4	[64,128)	[16,32)	-1.554291157365679e-2
6	5	[64,128)	[32,64)	1.147465490528705e-2
6	6	[64,128)	[64,128)	-1.454310980914911e-2
6	7	[64,128)	[128,256)	6.873443991405771e-3
6	8	[64,128)	[256,512)	-5.520194994585044e-3
6	9	[64,128)	[512,1024)	-1.438084172159311e-2
7	1	[128,256)	[2,4)	-5.634103215085555e-3
7	2	[128,256)	[4,8)	-2.382979050963065e-3
7	3	[128,256)	[8,16)	2.920913246025435e-3
7	4	[128,256)	[16,32)	4.550393969243852e-2
7	5	[128,256)	[32,64)	-2.711733932798832e-2
7	6	[128,256)	[64,128)	6.873443991405762e-3
7	7	[128,256)	[128,256)	-3.302572260835227e-3
7	8	[128,256)	[256,512)	4.966352242325867e-3
7	9	[128,256)	[512,1024)	-5.362562993947315e-3
8	1	[256,512)	[2,4)	7.139456998151712e-3
8	2	[256,512)	[4,8)	2.938378079359412e-3
8	3	[256,512)	[8,16)	-2.853280875493601e-3
8	4	[256,512)	[16,32)	2.507924414831418e-2
8	5	[256,512)	[32,64)	-3.188465410809252e-3
8	6	[256,512)	[64,128)	-5.520194994585042e-3
8	7	[256,512)	[128,256)	4.966352242325867e-3
8	8	[256,512)	[256,512)	2.279958221402334e-3
8	9	[256,512)	[512,1024)	1.208510158588563e-3
9	1	[512,1024)	[2,4)	-2.330900032848847e-3
9	2	[512,1024)	[4,8)	-9.523876280463339e-4
9	3	[512,1024)	[8,16)	8.156345444515923e-4
9	4	[512,1024)	[16,32)	-5.783057696126862e-3
9	5	[512,1024)	[32,64)	3.804635198875644e-3
9	6	[512,1024)	[64,128)	-1.438084172159310e-2
9	7	[512,1024)	[128,256)	-5.362562993947316e-3
9	8	[512,1024)	[256,512)	1.208510158588562e-3
9	9	[512,1024)	[512,1024)	-4.525978932011793e-4
