M	S_M	sum_abs	cancel_ratio	ln_M
7	1.325156461531939e0	6.087897740380358e0	0.21767062	1.945910
15	1.260621364347012e0	8.502755623881525e0	0.14826033	2.708050
23	1.397970548795494e0	1.034717501475844e1	0.13510649	3.135494
33	1.464016463090915e0	1.153194394384832e1	0.12695314	3.496508
39	1.414923428334770e0	1.251206824260396e1	0.11308470	3.663562
47	1.454447744573518e0	1.334533332226209e1	0.10898549	3.850148
58	1.370730572110953e0	1.400907973057030e1	0.09784587	4.060443
66	1.396747443879048e0	1.456463468089194e1	0.09589993	4.189655
73	1.467671103994145e0	1.505342425539889e1	0.09749749	4.290459
82	1.452802816306820e0	1.546657927937497e1	0.09393175	4.406719
89	1.442674318451798e0	1.583828378930231e1	0.09108779	4.488636
97	1.421497810093632e0	1.616460937864067e1	0.08793889	4.574711
106	1.437057000108183e0	1.642443102262138e1	0.08749509	4.663439
113	1.454918019040364e0	1.664365816136199e1	0.08741576	4.727388
122	1.438040622197033e0	1.682463416112382e1	0.08547233	4.804021
131	1.439576262022957e0	1.697305361225680e1	0.08481540	4.875197
139	1.441632778908734e0	1.708912612091259e1	0.08435965	4.934474
146	1.433494499566061e0	1.718324094102538e1	0.08342399	4.983607
157	1.437984520992867e0	1.724849861345033e1	0.08336868	5.056246
165	1.435358148132134e0	1.729272004718860e1	0.08300361	5.105945
174	1.435962720003953e0	1.731550671876481e1	0.08292929	5.159055
