d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.439048195170638e0	1.439048195170638e0	100.2216	1.000000	1
2	2.033709649622625e-1	2.033709649622625e-1	114.3853	1.500000	2 (prime)
3	7.351586376318214e-2	7.351586376318214e-2	119.5052	1.333333	3 (prime)
5	-1.873114200015253e-1	1.873114200015253e-1	132.5504	1.200000	5 (prime)
6	-4.469145137222390e-2	4.469145137222390e-2	135.6629	2.000000	2·3
7	-6.022642752463760e-2	6.022642752463760e-2	139.8574	1.142857	7 (prime)
10	-6.071520447834153e-3	6.071520447834153e-3	140.2802	1.800000	2·5
11	1.474677075062107e-2	1.474677075062107e-2	141.3072	1.090909	11 (prime)
13	9.544740722462744e-3	9.544740722462744e-3	141.9720	1.076923	13 (prime)
14	-1.244915653170211e-3	1.244915653170211e-3	142.0587	1.714286	2·7
