M	S_M	sum_abs	cancel_ratio	ln_M
251	1.911917622477511e0	9.421348730890246e1	0.02029346	5.525453
501	1.931789058271841e0	1.221057001625985e2	0.01582063	6.216606
755	1.967154962041473e0	1.418829492747901e2	0.01386463	6.626718
1006	1.958440424500502e0	1.567727887379224e2	0.01249222	6.913737
1258	1.938169975025388e0	1.683881574245821e2	0.01151013	7.137278
1506	1.868690046727521e0	1.780266413828262e2	0.01049669	7.317212
1762	1.838278811610832e0	1.862948553027080e2	0.00986758	7.474205
2015	1.838264953311034e0	1.932832017872841e2	0.00951073	7.608374
2266	1.845492160649974e0	1.992430045294192e2	0.00926252	7.725771
2513	1.822163794549813e0	2.043902277775071e2	0.00891512	7.829233
2767	1.810020246682328e0	2.086857915001261e2	0.00867342	7.925519
3019	1.796855724076495e0	2.123561540183893e2	0.00846152	8.012681
3270	1.778750030378905e0	2.154431053170565e2	0.00825624	8.092545
3518	1.782837490391278e0	2.180179036573738e2	0.00817748	8.165648
3779	1.782958091480530e0	2.201210494775122e2	0.00809990	8.237215
4027	1.783195424253899e0	2.217163774356860e2	0.00804269	8.300777
4279	1.782576838283102e0	2.229115262240147e2	0.00799679	8.361475
4530	1.782236100858802e0	2.237435456054797e2	0.00796553	8.418477
4781	1.780862402851539e0	2.242254941824042e2	0.00794228	8.472405
5029	1.780845101888910e0	2.243923466370984e2	0.00793630	8.522976
