band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	6.863733073521965e-1
1	2	[2,4)	[4,8)	1.606361127439169e-1
1	3	[2,4)	[8,16)	-4.649549654001783e-2
1	4	[2,4)	[16,32)	4.018873326764497e-2
1	5	[2,4)	[32,64)	-4.392160953725252e-3
2	1	[4,8)	[2,4)	1.606361127439170e-1
2	2	[4,8)	[4,8)	1.601876064636832e-2
2	3	[4,8)	[8,16)	-4.515379078530438e-3
2	4	[4,8)	[16,32)	1.768756709805386e-2
2	5	[4,8)	[32,64)	-1.745976508020185e-3
3	1	[8,16)	[2,4)	-4.649549654001782e-2
3	2	[8,16)	[4,8)	-4.515379078530450e-3
3	3	[8,16)	[8,16)	-2.075803920425084e-4
3	4	[8,16)	[16,32)	-5.540853498921810e-3
3	5	[8,16)	[32,64)	-1.068664115605447e-4
4	1	[16,32)	[2,4)	4.018873326764497e-2
4	2	[16,32)	[4,8)	1.768756709805386e-2
4	3	[16,32)	[8,16)	-5.540853498921812e-3
4	4	[16,32)	[16,32)	9.307157059144634e-3
4	5	[16,32)	[32,64)	-1.058711836856036e-3
5	1	[32,64)	[2,4)	-4.392160953725252e-3
5	2	[32,64)	[4,8)	-1.745976508020185e-3
5	3	[32,64)	[8,16)	-1.068664115605446e-4
5	4	[32,64)	[16,32)	-1.058711836856036e-3
5	5	[32,64)	[32,64)	1.017495164352582e-4
