M	S_M	sum_abs	cancel_ratio	ln_M
39	1.633176213767305e0	2.351609146161388e1	0.06944931	3.663562
82	1.731872339824545e0	3.124517854796374e1	0.05542847	4.406719
122	1.682480405721217e0	3.671704831123836e1	0.04582287	4.804021
165	1.649851335722982e0	4.062422520144096e1	0.04061250	5.105945
205	1.681790144201932e0	4.373170383810528e1	0.03845700	5.323010
246	1.705136795791925e0	4.637095223431698e1	0.03677166	5.505332
286	1.732454561211500e0	4.843578672197190e1	0.03576807	5.655992
327	1.718448584686834e0	5.011899278899136e1	0.03428737	5.789960
373	1.722580736209710e0	5.153212995593251e1	0.03342731	5.921578
411	1.721818307744742e0	5.276483415689000e1	0.03263193	6.018593
451	1.736768343743672e0	5.385005770911188e1	0.03225193	6.111467
491	1.731245254622036e0	5.475441183485229e1	0.03161837	6.196444
534	1.718869785878295e0	5.553779736411209e1	0.03094955	6.280396
574	1.708633629408516e0	5.617721185033665e1	0.03041507	6.352629
615	1.699573714687028e0	5.669278518064093e1	0.02997866	6.421622
658	1.697389020739713e0	5.709752244245333e1	0.02972789	6.489205
697	1.699325051080204e0	5.741132179474710e1	0.02959913	6.546785
741	1.701506426901855e0	5.763949605334017e1	0.02951980	6.608001
781	1.701603212635887e0	5.778180796976006e1	0.02944877	6.660575
818	1.701234800326610e0	5.785454517240667e1	0.02940538	6.706862
