M	S_M	sum_abs	cancel_ratio	ln_M
97	1.465668289526111e0	5.992672875277598e1	0.02445767	4.574711
197	1.599709636415901e0	7.910949581024222e1	0.02022146	5.283204
295	1.576736006095231e0	9.065667442624520e1	0.01739239	5.686975
397	1.529735206644009e0	9.850181525823032e1	0.01553002	5.983936
491	1.553673770793930e0	1.042780338791212e2	0.01489934	6.196444
591	1.521491376265494e0	1.086827439372523e2	0.01399938	6.381816
689	1.555890833034846e0	1.121161145666165e2	0.01387750	6.535241
789	1.542528826835949e0	1.148441420866525e2	0.01343150	6.670766
890	1.542308888517459e0	1.170293247185604e2	0.01317882	6.791221
987	1.539920436180984e0	1.187861004025939e2	0.01296381	6.894670
1090	1.547573594726068e0	1.202056606437229e2	0.01287438	6.993933
1186	1.546485787683359e0	1.213498651252035e2	0.01274403	7.078342
1283	1.543295431859557e0	1.222718395180501e2	0.01262184	7.156956
1379	1.540986454157446e0	1.230081406668035e2	0.01252752	7.229114
1478	1.540812623622311e0	1.235865391402670e2	0.01246748	7.298445
1574	1.542751519043330e0	1.240282909050753e2	0.01243871	7.361375
1671	1.544521456969568e0	1.243536713329271e2	0.01242039	7.421178
1777	1.543840849464617e0	1.245720014713761e2	0.01239316	7.482682
1879	1.543620138375365e0	1.247006078907586e2	0.01237861	7.538495
1978	1.543402053528706e0	1.247501550740286e2	0.01237194	7.589842
