M	S_M	sum_abs	cancel_ratio	ln_M
998	1.355354587018101e0	2.699917779880880e2	0.00501998	6.905753
2001	1.159493532095999e0	3.504967825767687e2	0.00330814	7.601402
2999	1.079623572172185e0	4.066546323754734e2	0.00265489	8.006034
3998	1.043683291156241e0	4.500070730708978e2	0.00231926	8.293550
4994	1.080609653561649e0	4.849534545700550e2	0.00222827	8.515992
6002	1.079258465950940e0	5.140007517157608e2	0.00209972	8.699848
7001	1.063736718466938e0	5.388916350098552e2	0.00197393	8.853808
7998	1.069345596464340e0	5.597151610096711e2	0.00191052	8.986947
8998	1.073014060216823e0	5.777840172651437e2	0.00185712	9.104758
9994	1.108451471551133e0	5.929853174989481e2	0.00186927	9.209740
11001	1.116769266448622e0	6.061087089354158e2	0.00184252	9.305741
12003	1.099088846650121e0	6.172085672261920e2	0.00178074	9.392912
13003	1.098500844071366e0	6.265479000961828e2	0.00175326	9.472935
14003	1.096367091524601e0	6.343399681610071e2	0.00172836	9.547027
14999	1.103326131541510e0	6.406316985452199e2	0.00172225	9.615739
15999	1.098901783425703e0	6.455925895139895e2	0.00170216	9.680281
16995	1.097031016800356e0	6.493236058029249e2	0.00168950	9.740674
17998	1.099883377065191e0	6.519317204572286e2	0.00168711	9.798016
18995	1.099773111384397e0	6.534364963989742e2	0.00168306	9.851931
19999	1.099665653072194e0	6.539249322894649e2	0.00168164	9.903438
