d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.436916752264335e0	1.436916752264335e0	96.8295	1.000000	1
2	2.398099457227341e-1	2.398099457227341e-1	112.9896	1.500000	2 (prime)
3	1.100626203668471e-1	1.100626203668471e-1	120.4064	1.333333	3 (prime)
5	-1.819700655756383e-1	1.819700655756383e-1	132.6688	1.200000	5 (prime)
6	-5.662812120684257e-2	5.662812120684257e-2	136.4848	2.000000	2·3
7	-6.278097706593383e-2	6.278097706593383e-2	140.7155	1.142857	7 (prime)
10	-1.097119432414444e-2	1.097119432414444e-2	141.4548	1.800000	2·5
11	-3.909480314627488e-3	3.909480314627488e-3	141.7182	1.090909	11 (prime)
13	2.773088874953435e-2	2.773088874953435e-2	143.5869	1.076923	13 (prime)
14	-1.798957987151142e-3	1.798957987151142e-3	143.7081	1.714286	2·7
15	-1.176030042533302e-2	1.176030042533302e-2	144.5006	1.600000	3·5
