band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	6.308188945557311e-1
1	2	[2,4)	[4,8)	1.352160804025989e-1
1	3	[2,4)	[8,16)	-2.879791292032623e-2
1	4	[2,4)	[16,32)	1.861787168012846e-2
2	1	[4,8)	[2,4)	1.352160804025989e-1
2	2	[4,8)	[4,8)	1.717248565196445e-2
2	3	[4,8)	[8,16)	-4.594771019979772e-3
2	4	[4,8)	[16,32)	7.922382021041417e-3
3	1	[8,16)	[2,4)	-2.879791292032623e-2
3	2	[8,16)	[4,8)	-4.594771019979768e-3
3	3	[8,16)	[8,16)	1.348885352414046e-2
3	4	[8,16)	[16,32)	-4.441106087651667e-3
4	1	[16,32)	[2,4)	1.861787168012846e-2
4	2	[16,32)	[4,8)	7.922382021041412e-3
4	3	[16,32)	[8,16)	-4.441106087651666e-3
4	4	[16,32)	[16,32)	1.543270390280212e-3
