channels	dim	lambda_min_coupled	lambda_min_block	coupling_boost
1	29	1.988894988273909e-2	1.988894988273909e-2	1.0000000000
2	58	1.588903944487552e-2	1.988894988273909e-2	0.7988878014
3	87	9.557730613656341e-3	1.988894988273909e-2	0.4805548141
4	116	4.454451994874840e-3	1.988894988273909e-2	0.2239661732
5	145	-5.759757406113978e-3	1.988894988273909e-2	-0.2895958530
6	174	-1.809905672327019e-2	1.988894988273909e-2	-0.9100056479
7	203	-2.977336848799848e-2	1.988894988273909e-2	-1.4969804169
8	232	-4.093967601540678e-2	1.988894988273909e-2	-2.0584131519
