M	S_M	sum_abs	cancel_ratio	ln_M
2	4.355140367371063e-1	7.029723164495956e-1	0.61953227	0.693147
3	7.558549337181324e-1	1.252614670093860e0	0.60342175	1.098612
5	9.307050159198000e-1	1.564327106919161e0	0.59495550	1.609438
6	7.876442944967805e-1	1.812409535178557e0	0.43458406	1.791759
7	9.115711107737573e-1	2.008902612054096e0	0.45376571	1.945910
10	8.266084690860411e-1	2.145974594792998e0	0.38519024	2.302585
11	9.018003279201818e-1	2.261014395941069e0	0.39884767	2.397895
13	9.397848252944553e-1	2.351565183548635e0	0.39964226	2.564949
14	9.090977276987464e-1	2.429781057746600e0	0.37414800	2.639057
15	8.872261742699401e-1	2.496561297932337e0	0.35537929	2.708050
17	9.074836647176365e-1	2.546735173945512e0	0.35633217	2.833213
19	9.202423147742153e-1	2.577960501160598e0	0.35696525	2.944439
21	9.134005332277993e-1	2.594405993233655e0	0.35206538	3.044522
22	9.086563304710314e-1	2.605391950856900e0	0.34875994	3.091042
23	9.108685922737385e-1	2.610368539307212e0	0.34894253	3.135494
