d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.672003749192945e0	1.672003749192945e0	90.2636	1.000000	1
2	4.658892308269024e-1	4.658892308269024e-1	115.4148	1.500000	2 (prime)
3	1.762921996024979e-1	1.762921996024979e-1	124.9320	1.333333	3 (prime)
5	-2.681536826895666e-1	2.681536826895666e-1	139.4084	1.200000	5 (prime)
6	-7.706392416623031e-2	7.706392416623031e-2	143.5687	2.000000	2·3
7	-9.627236737827140e-2	9.627236737827140e-2	148.7660	1.142857	7 (prime)
10	-4.414805065372451e-3	4.414805065372451e-3	149.0043	1.800000	2·5
11	-5.032265626900145e-2	5.032265626900145e-2	151.7210	1.090909	11 (prime)
13	1.906956114920851e-2	1.906956114920851e-2	152.7505	1.076923	13 (prime)
14	3.731488154016660e-3	3.731488154016660e-3	152.9519	1.714286	2·7
15	-3.424085854349235e-2	3.424085854349235e-2	154.8004	1.600000	3·5
17	-1.697637441835713e-2	1.697637441835713e-2	155.7169	1.058824	17 (prime)
19	6.137288564548000e-3	6.137288564548000e-3	156.0482	1.052632	19 (prime)
21	9.992108683712867e-3	9.992108683712867e-3	156.5876	1.523810	3·7
22	-7.167672218765297e-4	7.167672218765297e-4	156.6263	1.636364	2·11
23	-1.342973918583031e-2	1.342973918583031e-2	157.3514	1.043478	23 (prime)
26	1.313499482045706e-2	1.313499482045706e-2	158.0604	1.615385	2·13
29	1.670088731027403e-2	1.670088731027403e-2	158.9621	1.034483	29 (prime)
30	-3.842743706206157e-3	3.842743706206157e-3	159.1695	2.400000	2·3·5
31	7.203328807413078e-3	7.203328807413078e-3	159.5584	1.032258	31 (prime)
33	-4.938561183658544e-3	4.938561183658544e-3	159.8250	1.454545	3·11
34	6.249155493571872e-3	6.249155493571872e-3	160.1623	1.588235	2·17
35	6.446134687022772e-4	6.446134687022772e-4	160.1971	1.371429	5·7
37	1.778654517531162e-2	1.778654517531162e-2	161.1574	1.027027	37 (prime)
38	4.584970045793295e-3	4.584970045793295e-3	161.4049	1.578947	2·19
39	3.340652449139468e-3	3.340652449139468e-3	161.5852	1.435897	3·13
41	4.844673600500197e-3	4.844673600500197e-3	161.8468	1.024390	41 (prime)
42	-9.217882597997106e-4	9.217882597997106e-4	161.8965	2.285714	2·3·7
43	2.981013013464018e-3	2.981013013464018e-3	162.0575	1.023256	43 (prime)
46	7.817872970610360e-4	7.817872970610360e-4	162.0997	1.565217	2·23
47	-2.520052862636395e-4	2.520052862636395e-4	162.1133	1.021277	47 (prime)
51	3.505567998272806e-3	3.505567998272806e-3	162.3025	1.411765	3·17
