band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.743301492469081e-1
1	2	[2,4)	[4,8)	2.549586135261764e-1
1	3	[2,4)	[8,16)	-1.336190339883586e-1
1	4	[2,4)	[16,32)	2.377710914171277e-1
1	5	[2,4)	[32,64)	-1.554902659305352e-1
1	6	[2,4)	[64,128)	3.234507200845282e-2
1	7	[2,4)	[128,256)	-8.610587236455084e-3
1	8	[2,4)	[256,512)	1.333899998031696e-2
1	9	[2,4)	[512,1024)	-5.149365013098487e-3
1	10	[2,4)	[1024,2048)	-1.453783901549489e-3
1	11	[2,4)	[2048,4096)	6.064699651609792e-4
2	1	[4,8)	[2,4)	2.549586135261764e-1
2	2	[4,8)	[4,8)	1.327190207153978e-1
2	3	[4,8)	[8,16)	-5.971823649769747e-2
2	4	[4,8)	[16,32)	9.083572032604746e-2
2	5	[4,8)	[32,64)	-6.223977877983363e-2
2	6	[4,8)	[64,128)	1.268435053565522e-2
2	7	[4,8)	[128,256)	-3.563834205359264e-3
2	8	[4,8)	[256,512)	5.454494204686632e-3
2	9	[4,8)	[512,1024)	-2.122025854478204e-3
2	10	[4,8)	[1024,2048)	-6.075746013951763e-4
2	11	[4,8)	[2048,4096)	2.527854886644847e-4
3	1	[8,16)	[2,4)	-1.336190339883586e-1
3	2	[8,16)	[4,8)	-5.971823649769743e-2
3	3	[8,16)	[8,16)	5.382066214333078e-2
3	4	[8,16)	[16,32)	-6.899435626089206e-2
3	5	[8,16)	[32,64)	3.998004318175708e-2
3	6	[8,16)	[64,128)	-9.354056192057356e-3
3	7	[8,16)	[128,256)	2.362217489420258e-3
3	8	[8,16)	[256,512)	-4.097202857886065e-3
3	9	[8,16)	[512,1024)	1.575225586465641e-3
3	10	[8,16)	[1024,2048)	4.636052743330115e-4
3	11	[8,16)	[2048,4096)	-1.950280730522229e-4
4	1	[16,32)	[2,4)	2.377710914171277e-1
4	2	[16,32)	[4,8)	9.083572032604746e-2
4	3	[16,32)	[8,16)	-6.899435626089206e-2
4	4	[16,32)	[16,32)	1.532013901737205e-1
4	5	[16,32)	[32,64)	-1.022260815488585e-1
4	6	[16,32)	[64,128)	1.921833164685949e-2
4	7	[16,32)	[128,256)	-6.258448643847390e-3
4	8	[16,32)	[256,512)	9.853465492610137e-3
4	9	[16,32)	[512,1024)	-3.878022112122395e-3
4	10	[16,32)	[1024,2048)	-1.164440963459720e-3
4	11	[16,32)	[2048,4096)	4.859470068108314e-4
5	1	[32,64)	[2,4)	-1.554902659305352e-1
5	2	[32,64)	[4,8)	-6.223977877983363e-2
5	3	[32,64)	[8,16)	3.998004318175707e-2
5	4	[32,64)	[16,32)	-1.022260815488585e-1
5	5	[32,64)	[32,64)	8.678147722085157e-2
5	6	[32,64)	[64,128)	-2.044145067174222e-2
5	7	[32,64)	[128,256)	4.113188306280362e-3
5	8	[32,64)	[256,512)	-8.351596840546646e-3
5	9	[32,64)	[512,1024)	3.191624777201709e-3
5	10	[32,64)	[1024,2048)	9.826345791549423e-4
