d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	6.245878563301692e-1	6.245878563301692e-1	112.0003	1.000000	1
2	1.312174908407711e-1	1.312174908407711e-1	135.5300	1.500000	2 (prime)
3	5.104508249103305e-2	5.104508249103305e-2	144.6833	1.333333	3 (prime)
5	-1.682579736630053e-1	1.682579736630053e-1	174.8551	1.200000	5 (prime)
6	-3.429071868095538e-2	3.429071868095538e-2	181.0041	2.000000	2·3
7	-4.658576070800201e-2	4.658576070800201e-2	189.3578	1.142857	7 (prime)
10	-2.602948369262680e-3	2.602948369262680e-3	189.8245	1.800000	2·5
11	-7.745518057879903e-3	7.745518057879903e-3	191.2135	1.090909	11 (prime)
