omega_j	omega_k	Q_value
1	1	-2.227407661141625e-1
1	2	1.128548320877214e-1
1	3	1.485331767938057e-2
1	4	7.200255035914258e-3
2	1	1.128548320877213e-1
2	2	-1.688150113347965e-1
2	3	2.303250816596484e-1
2	4	-6.934778171971159e-3
3	1	1.485331767938057e-2
3	2	2.303250816596484e-1
3	3	-1.957941463699175e-2
3	4	4.563531783178715e-3
4	1	7.200255035914256e-3
4	2	-6.934778171971159e-3
4	3	4.563531783178714e-3
4	4	-3.029386963415259e-4
