N	S1	S2	S3	S2_plus_1	S3_plus_2g	M	M_ratio_34
10	-9.523809523809518e-3	-1.014025854935579e0	-1.166471950792675e0	-1.402585493557917e-2	-1.204062098960956e-2	-2	3.849001794597505e-1
20	-5.071584761987238e-2	-1.151650927724895e0	-1.607182546795200e0	-1.516509277248947e-1	-4.527512169921339e-1	-3	3.296522573573438e-1
50	-2.051016873178348e-2	-1.079846689685632e0	-1.465035359666430e0	-7.984668968563202e-2	-3.106040298633641e-1	-3	1.619847741468116e-1
100	3.113153352908315e-2	-8.576685140969381e-1	-5.039375092111276e-1	1.423314859030619e-1	6.504938205919382e-1	1	3.186204187403944e-2
200	-3.076516269718898e-2	-1.162300727354557e0	-2.010496685388642e0	-1.623007273545571e-1	-8.560653555855759e-1	-8	1.509906934476618e-1
500	-8.520856553787232e-3	-1.052454161898269e0	-1.477260554944564e0	-5.245416189826924e-2	-3.228292251414984e-1	-6	5.682976251290014e-2
1000	4.411869771791756e-3	-9.699308073822360e-1	-9.495454260168212e-1	3.006919261776397e-2	2.048859037862445e-1	2	1.125526901118675e-2
2000	3.319555441861934e-3	-9.745776792654681e-1	-9.597674551312833e-1	2.542232073453188e-2	1.946638746717825e-1	5	1.672477980890760e-2
