N	vtGv	vtGv_minus_1	btv	excess_logN	vtCv	l2_residual
10	1.363478471436534e-1	-8.636521528563466e-1	3.252718091675716e-1	-1.988632572699239e0	3.054609730450830e-2	4.858042288085103e-1
20	2.469482319930164e-1	-7.530517680069837e-1	4.740708760187934e-1	-2.255941485075414e0	2.220503650379019e-2	2.988064799554296e-1
50	3.724955933805483e-1	-6.275044066194517e-1	5.973201321133056e-1	-2.454811674702833e0	1.570425315269147e-2	1.778553291539371e-1
100	4.438516283111961e-1	-5.561483716888039e-1	6.563384464839845e-1	-2.561157900287104e0	1.307147197818581e-2	1.311747353432270e-1
200	5.052616380154334e-1	-4.947383619845666e-1	7.031013834121744e-1	-2.621280855200358e0	1.091008265931992e-2	9.905887119108459e-2
500	5.665876825028943e-1	-4.334123174971057e-1	7.467496625162181e-1	-2.693487698273443e0	8.952624034808676e-3	7.308835747045805e-2
1000	6.027577945037295e-1	-3.972422054962705e-1	7.712408210097428e-1	-2.744051942051370e0	7.945390511947314e-3	6.027615248424389e-2
2000	6.354690077939297e-1	-3.645309922060703e-1	7.926951763536656e-1	-2.770764515238436e0	7.103365179560672e-3	5.007865508659848e-2
