N	vtGv	vtGv_minus_1	btv	excess_logN	l2_residual	n_pts
5000	6.700302810092491e-1	-3.299697189907509e-1	8.147845647924081e-1	-2.810415843961553e0	4.046115142443285e-2	200000
10000	6.922699401167050e-1	-3.077300598832950e-1	8.286521749084410e-1	-2.834298594213761e0	3.496559029982294e-2	200000
20000	7.123840578784177e-1	-2.876159421215823e-1	8.407641518018755e-1	-2.848400902712041e0	3.085575427466680e-2	100000
50000	7.343879226286343e-1	-2.656120773713657e-1	8.541954756202563e-1	-2.873863786819807e0	2.599697138812163e-2	100000
100000	7.492178637186868e-1	-2.507821362813132e-1	8.630316506357529e-1	-2.887236042952765e0	2.315456244718095e-2	50000
200000	7.620907765124074e-1	-2.379092234875926e-1	8.707633768947879e-1	-2.903937264931229e0	2.056402272283164e-2	50000
500000	7.764681337277016e-1	-2.235318662722984e-1	8.797946746152956e-1	-2.933266375654450e0	1.687878449711044e-2	20000
