N	samples	max_abs_fN	max_x
50	19800	1.235817468896701e0	3.225802409248928e-2
100	39800	1.438518277130666e0	1.369861297078312e-2
200	79800	2.375055124833085e0	5.025119330990794e-3
500	199800	2.627751937561547e0	2.141324939758390e-3
1000	199800	2.403130584831265e0	2.141324939758390e-3
2000	199800	2.311893586765136e0	2.141324939758390e-3
5000	199800	2.161942281539154e0	2.141324939758390e-3
10000	199800	2.071578002100436e0	2.141324939758390e-3
