N	n_points	max_fN	max_x	min_fN	min_x	max_abs	integral_f2	pass
10	50000	8.443305890376840e-1	1.123000000000000e-2	-3.925423567690249e-1	1.409000000000000e-2	8.443305890376840e-1	1.363846889216845e-1	true
20	50000	1.102553945100306e0	3.690000000000000e-3	-2.993643137867189e-1	1.409000000000000e-2	1.102553945100306e0	2.470131388388509e-1	false
50	50000	1.506892262917609e0	3.690000000000000e-3	-3.570660421340449e-1	5.250000000000000e-3	1.506892262917609e0	3.726141490926714e-1	false
100	50000	1.803975680256235e0	8.829999999999999e-3	-6.553030040340188e-1	1.031000000000000e-2	1.803975680256235e0	4.439762759056498e-1	false
200	20000	2.374163817513363e0	5.025000000000000e-3	-6.527171159876608e-1	4.525000000000000e-3	2.374163817513363e0	5.052876405384338e-1	false
500	20000	2.470197364590457e0	1.125000000000000e-3	-6.473666423603779e-1	8.250000000000000e-4	2.470197364590457e0	5.663720236752875e-1	false
1000	10000	2.986311305643782e0	7.500000000000000e-4	-1.038771158197248e0	2.500000000000000e-4	2.986311305643782e0	6.031106330066117e-1	false
2000	10000	3.268788996072398e0	3.500000000000000e-4	-9.856367939448671e-1	2.500000000000000e-4	3.268788996072398e0	6.357201614409171e-1	false
