d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	8.254225651278287e-1	8.254225651278287e-1	94.9665	1.000000	1
2	3.075473734790460e-1	3.075473734790460e-1	130.3504	1.500000	2 (prime)
3	1.438687857490883e-1	1.438687857490883e-1	146.9028	1.333333	3 (prime)
5	-2.141947057495856e-1	2.141947057495856e-1	171.5463	1.200000	5 (prime)
6	-6.006186666607646e-2	6.006186666607646e-2	178.4566	2.000000	2·3
7	-9.823663954878649e-2	9.823663954878649e-2	189.7589	1.142857	7 (prime)
10	-1.609911514489946e-2	1.609911514489946e-2	191.6111	1.800000	2·5
11	-3.913550171688064e-2	3.913550171688064e-2	196.1137	1.090909	11 (prime)
13	2.246641048084792e-2	2.246641048084792e-2	198.6985	1.076923	13 (prime)
14	5.490068093808432e-3	5.490068093808432e-3	199.3302	1.714286	2·7
15	-2.737482291636927e-2	2.737482291636927e-2	202.4797	1.600000	3·5
17	6.300406307973222e-3	6.300406307973222e-3	203.2046	1.058824	17 (prime)
19	1.628277029578478e-2	1.628277029578478e-2	205.0779	1.052632	19 (prime)
21	1.583667158028873e-2	1.583667158028873e-2	206.9000	1.523810	3·7
22	2.751545227064747e-3	2.751545227064747e-3	207.2166	1.636364	2·11
23	-3.761095453518519e-3	3.761095453518519e-3	207.6493	1.043478	23 (prime)
26	4.197679046344207e-3	4.197679046344207e-3	208.1322	1.615385	2·13
