d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	5.064569550896795e-1	5.064569550896795e-1	54.2708	1.000000	1
2	6.038398399158077e-1	6.038398399158077e-1	118.9770	1.500000	2 (prime)
3	2.724149141016063e-1	2.724149141016063e-1	148.1684	1.333333	3 (prime)
5	-2.547635863576513e-1	2.547635863576513e-1	175.4683	1.200000	5 (prime)
6	-1.109085780497285e-1	1.109085780497285e-1	187.3530	2.000000	2·3
7	-4.297149165173132e-2	4.297149165173132e-2	191.9578	1.142857	7 (prime)
10	-2.344453467299377e-2	2.344453467299377e-2	194.4700	1.800000	2·5
11	-4.988956033902826e-2	4.988956033902826e-2	199.8161	1.090909	11 (prime)
13	2.036268559676495e-2	2.036268559676495e-2	201.9981	1.076923	13 (prime)
14	-9.082588893847339e-3	9.082588893847339e-3	202.9714	1.714286	2·7
15	-4.809823551669325e-2	4.809823551669325e-2	208.1255	1.600000	3·5
17	-8.756584509166179e-3	8.756584509166179e-3	209.0638	1.058824	17 (prime)
19	2.073195164965770e-2	2.073195164965770e-2	211.2854	1.052632	19 (prime)
21	4.815903790913115e-3	4.815903790913115e-3	211.8015	1.523810	3·7
22	-2.519264548428152e-3	2.519264548428152e-3	212.0714	1.636364	2·11
23	-2.073527850515650e-2	2.073527850515650e-2	214.2934	1.043478	23 (prime)
26	6.077977414927681e-3	6.077977414927681e-3	214.9447	1.615385	2·13
29	2.442256394778596e-2	2.442256394778596e-2	217.5618	1.034483	29 (prime)
30	5.603006051888259e-4	5.603006051888259e-4	217.6218	2.400000	2·3·5
31	1.582569175083112e-2	1.582569175083112e-2	219.3177	1.032258	31 (prime)
33	-1.251101190736339e-2	1.251101190736339e-2	220.6583	1.454545	3·11
34	-1.462971420951252e-3	1.462971420951252e-3	220.8151	1.588235	2·17
35	-1.984863855554468e-2	1.984863855554468e-2	222.9420	1.371429	5·7
37	3.218432104422611e-4	3.218432104422611e-4	222.9765	1.027027	37 (prime)
38	2.361968185593500e-3	2.361968185593500e-3	223.2296	1.578947	2·19
39	-9.588776814787476e-3	9.588776814787476e-3	224.2571	1.435897	3·13
41	6.287482277173685e-3	6.287482277173685e-3	224.9309	1.024390	41 (prime)
42	2.703051045521954e-3	2.703051045521954e-3	225.2205	2.285714	2·3·7
43	7.985608877967825e-3	7.985608877967825e-3	226.0762	1.023256	43 (prime)
46	3.387342360830225e-3	3.387342360830225e-3	226.4392	1.565217	2·23
47	-5.984886263398484e-3	5.984886263398484e-3	227.0806	1.021277	47 (prime)
51	7.705622729029987e-4	7.705622729029987e-4	227.1631	1.411765	3·17
53	1.708598104594214e-3	1.708598104594214e-3	227.3462	1.018868	53 (prime)
55	-3.315412001568358e-3	3.315412001568358e-3	227.7015	1.309091	5·11
57	-2.470457151768045e-3	2.470457151768045e-3	227.9662	1.403509	3·19
58	4.920494122238404e-3	4.920494122238404e-3	228.4935	1.551724	2·29
59	-8.475532181728238e-3	8.475532181728238e-3	229.4017	1.016949	59 (prime)
61	-4.156279605160578e-3	4.156279605160578e-3	229.8471	1.016393	61 (prime)
62	3.592390227903308e-3	3.592390227903308e-3	230.2320	1.548387	2·31
65	2.755146771159742e-3	2.755146771159742e-3	230.5273	1.292308	5·13
66	2.373642983683248e-3	2.373642983683248e-3	230.7816	2.181818	2·3·11
67	8.307251226740576e-3	8.307251226740576e-3	231.6718	1.014925	67 (prime)
69	5.527088734519952e-3	5.527088734519952e-3	232.2641	1.391304	3·23
70	3.897790122612231e-3	3.897790122612231e-3	232.6818	2.057143	2·5·7
71	4.073988069114568e-3	4.073988069114568e-3	233.1183	1.014085	71 (prime)
73	8.771980346827241e-3	8.771980346827241e-3	234.0583	1.013699	73 (prime)
74	1.553100859088320e-3	1.553100859088320e-3	234.2247	1.540541	2·37
77	3.385849934749446e-3	3.385849934749446e-3	234.5876	1.246753	7·11
78	3.134918188276229e-4	3.134918188276229e-4	234.6211	2.153846	2·3·13
79	5.544276989497954e-4	5.544276989497954e-4	234.6806	1.012658	79 (prime)
82	2.302064640882824e-3	2.302064640882824e-3	234.9272	1.536585	2·41
83	3.355116038348040e-4	3.355116038348040e-4	234.9632	1.012048	83 (prime)
85	-1.434255754749659e-3	1.434255754749659e-3	235.1169	1.270588	5·17
86	3.797288743467966e-3	3.797288743467966e-3	235.5238	1.534884	2·43
87	-8.648151254615829e-4	8.648151254615829e-4	235.6165	1.379310	3·29
89	-8.464027081862422e-4	8.464027081862422e-4	235.7072	1.011236	89 (prime)
91	1.081079693249635e-3	1.081079693249635e-3	235.8230	1.230769	7·13
93	9.036185285524432e-4	9.036185285524432e-4	235.9198	1.376344	3·31
94	2.571734924861136e-3	2.571734924861136e-3	236.1954	1.531915	2·47
95	-9.171032458829842e-4	9.171032458829842e-4	236.2937	1.263158	5·19
97	2.119221631730520e-3	2.119221631730520e-3	236.5208	1.010309	97 (prime)
101	2.185229066599357e-3	2.185229066599357e-3	236.7550	1.009901	101 (prime)
