M	S_M	sum_abs	cancel_ratio	ln_M
122	9.691709676840551e-1	6.195484500117863e1	0.01564318	4.804021
247	9.831648943448802e-1	7.963688609576970e1	0.01234560	5.509388
377	9.940608417109084e-1	9.101654418393005e1	0.01092176	5.932245
497	1.003552624836987e0	9.990831856693704e1	0.01004474	6.208590
622	9.588063917107180e-1	1.071421027392827e2	0.00894892	6.432940
749	9.947258566677951e-1	1.130025137957439e2	0.00880269	6.618739
877	1.008058067338795e0	1.180074708023978e2	0.00854232	6.776507
998	9.927534132612139e-1	1.221406565743655e2	0.00812795	6.905753
1123	9.988957514902310e-1	1.256954115251269e2	0.00794695	7.023759
1247	9.889008981502811e-1	1.286547762192598e2	0.00768647	7.128496
1370	9.654032813602152e-1	1.311369801672568e2	0.00736179	7.222566
1495	9.533826369529358e-1	1.332499421066996e2	0.00715484	7.309881
1618	9.394914622560026e-1	1.350220255891537e2	0.00695806	7.388946
1749	9.407880547427626e-1	1.365272733676367e2	0.00689084	7.466799
1878	9.396069715668443e-1	1.377512739092961e2	0.00682104	7.537963
2001	9.395123030751330e-1	1.386991867052935e2	0.00677374	7.601402
2126	9.418879105525281e-1	1.394063026729789e2	0.00675642	7.661998
2249	9.409157080284702e-1	1.398960910987674e2	0.00672582	7.718241
2374	9.396879004066683e-1	1.401975816069209e2	0.00670260	7.772332
2494	9.388771885094740e-1	1.403189207374771e2	0.00669102	7.821643
