M	S_M	sum_abs	cancel_ratio	ln_M
249	9.747625423800629e-1	1.014560127787433e2	0.00960774	5.517453
499	9.923337940929343e-1	1.299058214774403e2	0.00763887	6.212606
754	1.034519829657638e0	1.499079173636264e2	0.00690104	6.625392
1005	1.032630113174855e0	1.649456452161356e2	0.00626043	6.912743
1257	1.007699726530344e0	1.766753095428430e2	0.00570368	7.136483
1505	9.399305167815324e-1	1.863864855042125e2	0.00504291	7.316548
1761	9.054431251428504e-1	1.947080814040943e2	0.00465026	7.473637
2014	9.097300716827365e-1	2.017406945405782e2	0.00450940	7.607878
2265	9.189978981684209e-1	2.077365871724836e2	0.00442386	7.725330
2510	8.932161495097082e-1	2.129119575184224e2	0.00419524	7.828038
2766	8.799158001298499e-1	2.172293298798434e2	0.00405063	7.925158
3018	8.651491956232190e-1	2.209162641422476e2	0.00391619	8.012350
3269	8.511260140908843e-1	2.240191807392106e2	0.00379934	8.092239
3517	8.542833195281919e-1	2.266056616064340e2	0.00376991	8.165364
3778	8.540081006574035e-1	2.287190718709647e2	0.00373387	8.236950
4026	8.536996478287805e-1	2.303220787119820e2	0.00370655	8.300529
4278	8.533224439010358e-1	2.315233619760320e2	0.00368569	8.361241
4529	8.529386521705902e-1	2.323602199537997e2	0.00367076	8.418256
4778	8.516949790851045e-1	2.328456517411693e2	0.00365777	8.471777
5027	8.516051299756014e-1	2.330149160274379e2	0.00365472	8.522579
