M	S_M	sum_abs	cancel_ratio	ln_M
499	7.299052720712971e-1	3.149501796062227e2	0.00231753	6.212606
1005	7.079290830594672e-1	4.205416630400671e2	0.00168337	6.912743
1505	7.117097918910837e-1	4.884780961112805e2	0.00145699	7.316548
2014	7.097570235882767e-1	5.381180087815737e2	0.00131896	7.607878
2510	7.123363968418139e-1	5.766807999027144e2	0.00123524	7.828038
3018	7.148329336057072e-1	6.078374632315096e2	0.00117603	8.012350
3517	7.078402908148871e-1	6.336792541065424e2	0.00111703	8.165364
4026	7.157601004476610e-1	6.554700524102074e2	0.00109198	8.300529
4529	7.141791286498163e-1	6.741116315447042e2	0.00105944	8.418256
5027	7.124756859205950e-1	6.902388312753654e2	0.00103222	8.522579
5538	7.109603552428276e-1	7.042869967584913e2	0.00100948	8.619389
6042	7.113133692107880e-1	7.166156079986899e2	0.00099260	8.706490
6539	7.136909966128149e-1	7.275122018923755e2	0.00098100	8.785540
7049	7.153852135704715e-1	7.371763979258861e2	0.00097044	8.860641
7549	7.115724715053597e-1	7.457739999853444e2	0.00095414	8.929170
8049	7.114926816029765e-1	7.534558978329715e2	0.00094431	8.993303
8553	7.095082862509688e-1	7.603287844623975e2	0.00093316	9.054037
9055	7.117654827585455e-1	7.664904066366330e2	0.00092860	9.111072
9557	7.135687696108571e-1	7.720188796706290e2	0.00092429	9.165029
10061	7.132617304893630e-1	7.769813157987284e2	0.00091799	9.216422
10567	7.133895466940902e-1	7.814354949061805e2	0.00091292	9.265491
11071	7.124829749550381e-1	7.854313769522823e2	0.00090712	9.312084
11578	7.118413297867232e-1	7.890120890444160e2	0.00090219	9.356862
12083	7.115950072915573e-1	7.922199282969123e2	0.00089823	9.399555
12587	7.122887190973869e-1	7.950888948094146e2	0.00089586	9.440420
13090	7.125523183254242e-1	7.976467210227773e2	0.00089332	9.479604
13594	7.121141002847262e-1	7.999225498778161e2	0.00089023	9.517384
14099	7.119993059826194e-1	8.019371301086288e2	0.00088785	9.553859
14597	7.121761618546635e-1	8.037131494307851e2	0.00088611	9.588571
15097	7.122307323253629e-1	8.052695645308978e2	0.00088446	9.622251
15599	7.124872685003296e-1	8.066232905517468e2	0.00088330	9.654962
16105	7.127115866468909e-1	8.077882728895507e2	0.00088230	9.686885
16607	7.125902976334497e-1	8.087778506559450e2	0.00088107	9.717580
17110	7.125863806082233e-1	8.096056141118092e2	0.00088016	9.747418
17609	7.125424027510114e-1	8.102821396455515e2	0.00087938	9.776165
18113	7.124980832853708e-1	8.108176875531499e2	0.00087874	9.804385
18615	7.125406919640995e-1	8.112224029997744e2	0.00087835	9.831723
19122	7.123351639572998e-1	8.115031959654963e2	0.00087780	9.858595
19626	7.123670349968590e-1	8.116681384859183e2	0.00087766	9.884610
20130	7.123592400961869e-1	8.117257381502604e2	0.00087759	9.909967
