M	S_M	sum_abs	cancel_ratio	ln_M
3	3.185859249485702e-1	4.918837125844423e0	0.06476855	1.098612
7	4.673110251174007e-1	7.588610703578475e0	0.06158058	1.945910
13	5.050891228224492e-1	9.014414860265997e0	0.05603127	2.564949
17	5.192220489157926e-1	1.015020811519308e1	0.05115383	2.833213
22	4.820401953780810e-1	1.105451865829322e1	0.04360572	3.091042
29	5.257833744917231e-1	1.174826731968499e1	0.04475412	3.367296
33	5.623592559423308e-1	1.228681349932870e1	0.04576933	3.496508
37	5.479261684956959e-1	1.275900929426743e1	0.04294426	3.610918
41	5.324858578879895e-1	1.319944542507466e1	0.04034153	3.713572
46	5.487910794505185e-1	1.357787953436081e1	0.04041803	3.828641
53	5.668627915157858e-1	1.390116323318471e1	0.04077808	3.970292
58	5.252934541318962e-1	1.415708943541135e1	0.03710462	4.060443
62	5.378030351218892e-1	1.437276600862027e1	0.03741820	4.127134
67	5.445726166270637e-1	1.455720234026460e1	0.03740915	4.204693
71	5.541549107139004e-1	1.473247972667688e1	0.03761450	4.262680
77	5.497082226188472e-1	1.488684106320945e1	0.03692578	4.343805
82	5.577453773371440e-1	1.501618845888188e1	0.03714294	4.406719
86	5.555517372890462e-1	1.512540111494929e1	0.03672972	4.454347
91	5.545141551124859e-1	1.521758052625041e1	0.03643905	4.510860
95	5.608360331361355e-1	1.529645794452303e1	0.03666444	4.553877
102	5.582902043245920e-1	1.535008839241608e1	0.03637049	4.624973
106	5.576474057062279e-1	1.538795953723683e1	0.03623920	4.663439
110	5.576663107431095e-1	1.541497234837826e1	0.03617693	4.700480
114	5.578611759235247e-1	1.543213548676795e1	0.03614932	4.736198
119	5.576664632859902e-1	1.543833356935371e1	0.03612219	4.779123
