omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-1.869917874744888e0
0	2	1.748571544257391e0
0	3	-5.176896007128643e-1
0	4	4.445322898395995e-2
0	5	-3.669320282263127e-4
1	0	-1.869917874744888e0
1	1	2.570048909769532e1
1	2	-3.256594646184221e1
1	3	1.354177028589207e1
1	4	-1.766241420233927e0
1	5	2.506479978650548e-2
2	0	1.748571544257391e0
2	1	-3.256594646184221e1
2	2	4.541576844639264e1
2	3	-2.000214454992325e1
2	4	2.742625798292072e0
2	5	-4.414008401231772e-2
3	0	-5.176896007128643e-1
3	1	1.354177028589207e1
3	2	-2.000214454992325e1
3	3	9.143166023241411e0
3	4	-1.271793653669088e0
3	5	2.099698587094026e-2
4	0	4.445322898395995e-2
4	1	-1.766241420233927e0
4	2	2.742625798292072e0
4	3	-1.271793653669088e0
4	4	1.663588934613073e-1
4	5	-2.679064198390470e-3
5	0	-3.669320282263127e-4
5	1	2.506479978650548e-2
5	2	-4.414008401231772e-2
5	3	2.099698587094026e-2
5	4	-2.679064198390470e-3
5	5	3.322378675209216e-5
