M	S_M	sum_abs	cancel_ratio	ln_M
499	1.140541076316864e0	1.644272577980084e2	0.00693645	6.212606
1005	1.204138907980441e0	2.134209886526742e2	0.00564208	6.912743
1505	1.095730896967315e0	2.457850547206588e2	0.00445809	7.316548
2014	1.042147867279592e0	2.710588382484145e2	0.00384473	7.607878
2510	1.023673687603838e0	2.917788807597065e2	0.00350839	7.828038
3018	9.492872910066628e-1	3.087902668406224e2	0.00307421	8.012350
3517	9.216300810583431e-1	3.230629790729034e2	0.00285279	8.165364
4026	8.987742426167924e-1	3.352235650473519e2	0.00268112	8.300529
4529	9.045143194472690e-1	3.456150834119577e2	0.00261711	8.418256
5027	9.112361936289497e-1	3.544191463422515e2	0.00257107	8.522579
5538	9.068869915989470e-1	3.620185532545497e2	0.00250508	8.619389
6042	9.097374748651560e-1	3.685159547499950e2	0.00246865	8.706490
6539	9.186147839830945e-1	3.739926289975580e2	0.00245624	8.785540
7049	9.193717828844367e-1	3.784843793489102e2	0.00242909	8.860641
7549	9.287797611064920e-1	3.820854467743616e2	0.00243082	8.929170
8049	9.272523641971582e-1	3.849190424793554e2	0.00240895	8.993303
8553	9.239658795742753e-1	3.870626855629097e2	0.00238712	9.054037
9055	9.274134954288999e-1	3.885376618858758e2	0.00238693	9.111072
9557	9.327283650264923e-1	3.893946955768870e2	0.00239533	9.165029
10061	9.332005744527515e-1	3.896882053075389e2	0.00239474	9.216422
