band_j	band_k	range_j	range_k	Q_band
9	11	[512,1024)	[2048,4096)	-4.062753803602164e-4
10	1	[1024,2048)	[2,4)	-1.493251938464646e-3
10	2	[1024,2048)	[4,8)	-6.257085834801252e-4
10	3	[1024,2048)	[8,16)	4.985259502006455e-4
10	4	[1024,2048)	[16,32)	-1.356909027661939e-3
10	5	[1024,2048)	[32,64)	-3.243337035953254e-2
10	6	[1024,2048)	[64,128)	2.429615878022547e-3
10	7	[1024,2048)	[128,256)	-1.740238284016733e-2
10	8	[1024,2048)	[256,512)	5.025661188430978e-4
10	9	[1024,2048)	[512,1024)	-1.944015659398646e-3
10	10	[1024,2048)	[1024,2048)	-5.281233365759764e-4
10	11	[1024,2048)	[2048,4096)	-4.414151784721827e-4
11	1	[2048,4096)	[2,4)	6.339460161687308e-4
11	2	[2048,4096)	[4,8)	2.655041864192824e-4
11	3	[2048,4096)	[8,16)	-2.115313067239182e-4
11	4	[2048,4096)	[16,32)	5.857808159327102e-4
11	5	[2048,4096)	[32,64)	-8.075563411749139e-4
11	6	[2048,4096)	[64,128)	-2.999357927634642e-3
11	7	[2048,4096)	[128,256)	1.734290164687932e-3
11	8	[2048,4096)	[256,512)	5.359852322791693e-4
11	9	[2048,4096)	[512,1024)	-4.062753803602162e-4
11	10	[2048,4096)	[1024,2048)	-4.414151784721826e-4
11	11	[2048,4096)	[2048,4096)	2.546509952950990e-5
