omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-2.214485489442445e0
0	2	2.355660559474875e0
0	3	-8.538131479828909e-1
0	4	1.083477796801475e-1
0	5	-3.023755640417906e-3
1	0	-2.214485489442445e0
1	1	6.263396941283241e1
1	2	-9.749686372354546e1
1	3	4.881692923957497e1
1	4	-8.233108953069580e0
1	5	2.938858344761598e-1
2	0	2.355660559474875e0
2	1	-9.749686372354546e1
2	2	1.616569962376400e2
2	3	-8.484456189377474e1
2	4	1.487584802142274e1
2	5	-5.487663268430856e-1
3	0	-8.538131479828909e-1
3	1	4.881692923957497e1
3	2	-8.484456189377474e1
3	3	4.648520442957371e1
3	4	-8.493003994189584e0
3	5	3.258216373925529e-1
4	0	1.083477796801475e-1
4	1	-8.233108953069580e0
4	2	1.487584802142274e1
4	3	-8.493003994189584e0
4	4	1.626436976130995e0
4	5	-6.575645083291139e-2
5	0	-3.023755640417906e-3
5	1	2.938858344761598e-1
5	2	-5.487663268430856e-1
5	3	3.258216373925529e-1
5	4	-6.575645083291139e-2
5	5	2.871885187242820e-3
