band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.853144310039403e-1
1	2	[2,4)	[4,8)	3.057693948836353e-1
1	3	[2,4)	[8,16)	-1.506641006367581e-1
1	4	[2,4)	[16,32)	2.726329671334290e-1
1	5	[2,4)	[32,64)	-1.806934802846513e-1
1	6	[2,4)	[64,128)	3.885104433491339e-2
1	7	[2,4)	[128,256)	-1.148642583195860e-2
1	8	[2,4)	[256,512)	1.938632648146495e-2
1	9	[2,4)	[512,1024)	-7.005661314022768e-3
1	10	[2,4)	[1024,2048)	-7.624318383691618e-3
1	11	[2,4)	[2048,4096)	8.539117475683408e-3
1	12	[2,4)	[4096,8192)	-3.678900315348417e-3
1	13	[2,4)	[8192,16384)	4.877149124771566e-4
2	1	[4,8)	[2,4)	3.057693948836354e-1
2	2	[4,8)	[4,8)	3.077746421263443e-4
2	3	[4,8)	[8,16)	1.866605939588325e-2
2	4	[4,8)	[16,32)	1.553628053312847e-1
2	5	[4,8)	[32,64)	-9.380641530787474e-2
2	6	[4,8)	[64,128)	1.862163593734505e-2
2	7	[4,8)	[128,256)	-5.090078439475731e-3
2	8	[4,8)	[256,512)	8.384891361169090e-3
2	9	[4,8)	[512,1024)	-3.009716030848831e-3
2	10	[4,8)	[1024,2048)	-3.269722586104776e-3
2	11	[4,8)	[2048,4096)	3.663463402656037e-3
2	12	[4,8)	[4096,8192)	-1.580434400375255e-3
2	13	[4,8)	[8192,16384)	2.099743189307291e-4
3	1	[8,16)	[2,4)	-1.506641006367580e-1
3	2	[8,16)	[4,8)	1.866605939588325e-2
3	3	[8,16)	[8,16)	2.157059981105610e-4
3	4	[8,16)	[16,32)	-5.997085807377797e-4
3	5	[8,16)	[32,64)	4.936155049187334e-3
3	6	[8,16)	[64,128)	1.009964467703650e-1
3	7	[8,16)	[128,256)	6.504256102390765e-3
3	8	[8,16)	[256,512)	-8.593542776427383e-3
3	9	[8,16)	[512,1024)	2.876591169275797e-3
3	10	[8,16)	[1024,2048)	2.698042901591491e-3
3	11	[8,16)	[2048,4096)	-3.007900191558088e-3
3	12	[8,16)	[4096,8192)	1.290552131392203e-3
3	13	[8,16)	[8192,16384)	-1.712318610850080e-4
4	1	[16,32)	[2,4)	2.726329671334290e-1
4	2	[16,32)	[4,8)	1.553628053312847e-1
4	3	[16,32)	[8,16)	-5.997085807377798e-4
4	4	[16,32)	[16,32)	1.594282734626316e-3
