j	k	tau	M_jk	G_jk
14	22	0.45198512	0.0140352134	0.2463169950
14	23	0.49643689	0.0136771827	0.2454282690
14	24	0.53899650	0.0134565249	0.2466621754
14	25	0.57981850	0.0131459462	0.2459381327
14	26	0.61903921	0.0129332134	0.2467499844
14	27	0.65677954	0.0126979578	0.2468765162
14	28	0.69314718	0.0145096839	0.2872770847
14	29	0.72823850	0.0122684361	0.2472021378
14	30	0.76214005	0.0120318309	0.2465791583
14	31	0.79492987	0.0118113024	0.2460609255
14	32	0.82667857	0.0116496383	0.2465763668
14	33	0.85745023	0.0114404101	0.2459022945
14	34	0.88730320	0.0113044538	0.2466340644
14	35	0.91629073	0.0114923247	0.2543934512
14	36	0.94446161	0.0109919465	0.2467685877
14	37	0.97186058	0.0108242193	0.2463550459
14	38	0.99852883	0.0106924982	0.2466238098
14	39	1.02450432	0.0105374767	0.2462254558
14	40	1.04982212	0.0104027080	0.2461730030
14	41	1.07451474	0.0102991711	0.2467506010
14	42	1.09861229	0.0112980210	0.2739624485
14	43	1.12214279	0.0100730704	0.2471497149
14	44	1.14513230	0.0099452074	0.2468335572
14	45	1.16760516	0.0098146544	0.2463458699
14	46	1.18958407	0.0097144246	0.2465244603
14	47	1.21109027	0.0096173013	0.2466983058
14	48	1.23214368	0.0095240724	0.2468921740
14	49	1.25276297	0.0096185139	0.2519242839
14	50	1.27296568	0.0093213101	0.2466186830
15	15	0.00000000	0.0218451004	0.3276765066
15	16	0.06453852	0.0159643048	0.2473179462
15	17	0.12516314	0.0153973230	0.2458755303
15	18	0.18232156	0.0150956687	0.2480471485
15	19	0.23638878	0.0145545916	0.2457097860
15	20	0.28768207	0.0145376808	0.2518000175
15	21	0.33647224	0.0139506590	0.2475996341
15	22	0.38299225	0.0135380103	0.2459301710
15	23	0.42744401	0.0132272184	0.2456846770
15	24	0.47000363	0.0130600614	0.2477972417
15	25	0.51082562	0.0129706386	0.2511753371
15	26	0.55004634	0.0124577062	0.2460199860
15	27	0.58778666	0.0123019886	0.2475727445
15	28	0.62415431	0.0120235568	0.2464095900
15	29	0.65924563	0.0118557942	0.2472721928
15	30	0.69314718	0.0135409377	0.2872466654
15	31	0.72593700	0.0114621475	0.2471681285
15	32	0.75768570	0.0112411124	0.2462804329
15	33	0.78845736	0.0111160434	0.2473163537
15	34	0.81831032	0.0109055233	0.2462813912
15	35	0.84729786	0.0109185350	0.2501750658
15	36	0.87546874	0.0106576057	0.2476603770
15	37	0.90286771	0.0104724467	0.2467144852
15	38	0.92953596	0.0103212032	0.2464153496
15	39	0.95551145	0.0102371189	0.2476028734
15	40	0.98082925	0.0101669593	0.2490386245
15	41	1.00552187	0.0099286985	0.2462237159
15	42	1.02961942	0.0098629422	0.2475578841
15	43	1.05314991	0.0097129781	0.2466790488
15	44	1.07613943	0.0096170337	0.2470660686
15	45	1.09861229	0.0105404647	0.2738493067
15	46	1.12059120	0.0094001104	0.2469206994
15	47	1.14209740	0.0092924919	0.2467327226
15	48	1.16315081	0.0092240647	0.2475076273
15	49	1.18377010	0.0090904867	0.2464511243
15	50	1.20397280	0.0090900184	0.2489404073
16	16	0.00000000	0.0205192135	0.3283074154
16	17	0.06062462	0.0150213021	0.2477376611
16	18	0.11778304	0.0145654692	0.2471842098
16	19	0.17185026	0.0141090333	0.2459994012
16	20	0.22314355	0.0139430779	0.2494213597
16	21	0.27193372	0.0134216123	0.2460222178
16	22	0.31845373	0.0131448222	0.2466187242
16	23	0.36290549	0.0128090820	0.2457207977
16	24	0.40546511	0.0132573371	0.2597896892
16	25	0.44628710	0.0123183796	0.2463675914
16	26	0.48550782	0.0121047474	0.2468893729
16	27	0.52324814	0.0118520080	0.2463393601
16	28	0.55961579	0.0117684035	0.2490901512
16	29	0.59470711	0.0114515826	0.2466746390
16	30	0.62860866	0.0112704977	0.2469242324
16	31	0.66139848	0.0111057319	0.2473363934
16	32	0.69314718	0.0127171636	0.2877565629
16	33	0.72391884	0.0107617772	0.2472868122
16	34	0.75377180	0.0105984462	0.2471961193
16	35	0.78275934	0.0104281506	0.2467750837
16	36	0.81093022	0.0103747877	0.2489949049
16	37	0.83832919	0.0101472945	0.2468943318
16	38	0.86499744	0.0100189963	0.2470449653
16	39	0.89097292	0.0098808159	0.2468227022
16	40	0.91629073	0.0100464636	0.2541576593
16	41	0.94098334	0.0096193112	0.2463745794
16	42	0.96508090	0.0095344839	0.2471620704
16	43	0.98861139	0.0094117594	0.2468681352
16	44	1.01160091	0.0093620278	0.2484026679
16	45	1.03407377	0.0091940096	0.2467011667
16	46	1.05605267	0.0091024409	0.2469430304
16	47	1.07755888	0.0090296836	0.2476175667
16	48	1.09861229	0.0099055689	0.2745111765
16	49	1.11923158	0.0088287046	0.2472037292
16	50	1.13943428	0.0087386223	0.2471655648
17	17	0.00000000	0.0193312863	0.3286318669
17	18	0.05715841	0.0141793874	0.2480379779
17	19	0.11122564	0.0137176868	0.2465370219
17	20	0.16251893	0.0133297623	0.2457886725
17	21	0.21130909	0.0130321596	0.2462354040
17	22	0.25782911	0.0127249685	0.2460891784
17	23	0.30228087	0.0124358721	0.2459034512
17	24	0.34484049	0.0122025767	0.2464799682
17	25	0.38566248	0.0119622924	0.2466089756
17	26	0.42488319	0.0117358693	0.2467325215
17	27	0.46262352	0.0115002375	0.2463843694
17	28	0.49899117	0.0113062722	0.2466737379
17	29	0.53408249	0.0111119236	0.2467247426
17	30	0.56798404	0.0109057904	0.2462874220
17	31	0.60077386	0.0107456184	0.2466815795
17	32	0.63252256	0.0105812160	0.2467942460
17	33	0.66329422	0.0104498855	0.2475101222
17	34	0.69314718	0.0119815084	0.2880549973
17	35	0.72213472	0.0101671680	0.2480038834
17	36	0.75030559	0.0099917744	0.2471828466
17	37	0.77770457	0.0098535413	0.2471255574
17	38	0.80437282	0.0097166657	0.2469639252
17	39	0.83034830	0.0095904782	0.2469431736
17	40	0.85566611	0.0094432041	0.2462486354
17	41	0.88035872	0.0093445052	0.2467020160
17	42	0.90445627	0.0092500098	0.2471674615
17	43	0.92798677	0.0091382039	0.2470697252
17	44	0.95097629	0.0090269390	0.2468830692
17	45	0.97344915	0.0089231256	0.2468014605
17	46	0.99542805	0.0088200105	0.2466450938
17	47	1.01693426	0.0087493206	0.2473134416
17	48	1.03798767	0.0086503605	0.2471037218
17	49	1.05860695	0.0085613908	0.2470966288
17	50	1.07880966	0.0084856007	0.2473956488
18	18	0.00000000	0.0182723659	0.3289025869
18	19	0.05406722	0.0134197356	0.2481744190
18	20	0.10536052	0.0130151283	0.2469446973
18	21	0.15415068	0.0127550357	0.2479862377
18	22	0.20067070	0.0124034840	0.2468262157
18	23	0.24512246	0.0120949073	0.2460949568
18	24	0.28768207	0.0121831188	0.2532213682
18	25	0.32850407	0.0116300406	0.2467104165
18	26	0.36772478	0.0114177946	0.2470046624
18	27	0.40546511	0.0117949269	0.2600239731
18	28	0.44183275	0.0110114982	0.2472075215
18	29	0.47692407	0.0108027544	0.2468139786
18	30	0.51082562	0.0108354030	0.2517920129
18	31	0.54361545	0.0104423922	0.2466704358
18	32	0.57536414	0.0102960223	0.2471045348
18	33	0.60613580	0.0101668774	0.2477883070
18	34	0.63598877	0.0100034231	0.2474710191
18	35	0.66497630	0.0098801088	0.2479887625
18	36	0.69314718	0.0113318760	0.2884624698
18	37	0.72054615	0.0096200372	0.2482640668
18	38	0.74721440	0.0094620903	0.2474657712
18	39	0.77318989	0.0093657729	0.2481488001
18	40	0.79850770	0.0091954706	0.2467403687
18	41	0.82320031	0.0090813664	0.2467058121
18	42	0.84729786	0.0091255623	0.2509114812
18	43	0.87082836	0.0088829839	0.2471322125
18	44	0.89381788	0.0087826840	0.2471666368
18	45	0.91629073	0.0089576969	0.2549405230
18	46	0.93826964	0.0085940905	0.2472948614
18	47	0.95977584	0.0084995743	0.2472192898
18	48	0.98082925	0.0085249674	0.2505818425
18	49	1.00144854	0.0083177321	0.2470240394
18	50	1.02165125	0.0082416393	0.2472491794
19	19	0.00000000	0.0173173682	0.3290299960
19	20	0.05129329	0.0127175074	0.2479098589
19	21	0.10008346	0.0123493045	0.2466771652
19	22	0.14660347	0.0120495829	0.2463543037
19	23	0.19105524	0.0117723269	0.2460951365
19	24	0.23361485	0.0115510252	0.2466623991
19	25	0.27443685	0.0113194845	0.2467024451
19	26	0.31365756	0.0110937844	0.2465716812
19	27	0.35139789	0.0108832149	0.2464994116
19	28	0.38776553	0.0107033784	0.2468747632
19	29	0.42285685	0.0105305471	0.2471876297
19	30	0.45675840	0.0103266466	0.2465453091
19	31	0.48954823	0.0101661521	0.2467256208
19	32	0.52129692	0.0100060380	0.2467254427
19	33	0.55206858	0.0098520387	0.2466947342
19	34	0.58192155	0.0097154453	0.2469329069
19	35	0.61090908	0.0095862814	0.2472071310
19	36	0.63907996	0.0094595706	0.2473998726
19	37	0.66647893	0.0093526666	0.2479779793
19	38	0.69314718	0.0107336568	0.2884139772
19	39	0.71912267	0.0091229395	0.2483384102
19	40	0.74444047	0.0089485213	0.2466937091
19	41	0.76913309	0.0088447552	0.2468621721
19	42	0.79323064	0.0087519305	0.2472323549
19	43	0.81676114	0.0086480546	0.2471891775
19	44	0.83975065	0.0085402171	0.2469289723
19	45	0.86222351	0.0084443482	0.2469159767
19	46	0.88420242	0.0083469611	0.2467653105
19	47	0.90570862	0.0082783713	0.2473834428
19	48	0.92676203	0.0081943041	0.2474625583
19	49	0.94738132	0.0080956990	0.2470183353
19	50	0.96758403	0.0080137561	0.2470005522
20	20	0.00000000	0.0164202573	0.3284051460
20	21	0.04879016	0.0120968047	0.2479107243
20	22	0.09531018	0.0117716492	0.2469241962
20	23	0.13976194	0.0114652846	0.2459029604
20	24	0.18232156	0.0113611464	0.2489102472
20	25	0.22314355	0.0111884105	0.2501804639
20	26	0.26236426	0.0108224807	0.2467905297
20	27	0.30010459	0.0105924310	0.2461458528
20	28	0.33647224	0.0105024015	0.2485321806
20	29	0.37156356	0.0102405027	0.2466239627
20	30	0.40546511	0.0106120248	0.2599404601
20	31	0.43825493	0.0099005551	0.2465218337
20	32	0.47000363	0.0098191311	0.2484065512
20	33	0.50077529	0.0095957988	0.2465205351
20	34	0.53062825	0.0094666492	0.2468600079
20	35	0.55961579	0.0094338629	0.2495965524
20	36	0.58778666	0.0092598371	0.2484675013
20	37	0.61518564	0.0090696550	0.2467212906
20	38	0.64185389	0.0089684857	0.2472440882
20	39	0.66782937	0.0088708407	0.2477490982
20	40	0.69314718	0.0101684536	0.2876073003
20	41	0.71783979	0.0086446332	0.2475446227
20	42	0.74193734	0.0085342188	0.2473451587
20	43	0.76546784	0.0084168529	0.2468305788
20	44	0.78845736	0.0083635027	0.2481015836
20	45	0.81093022	0.0082909182	0.2487275461
20	46	0.83290912	0.0081390974	0.2468710480
20	47	0.85441533	0.0080500130	0.2468087240
20	48	0.87546874	0.0080083691	0.2481302419
20	49	0.89608802	0.0078817809	0.2467387718
20	50	0.91629073	0.0080616125	0.2549305720
21	21	0.00000000	0.0156820995	0.3293240892
21	22	0.04652002	0.0115595640	0.2484634091
21	23	0.09097178	0.0112229463	0.2466496193
21	24	0.13353139	0.0110542120	0.2481664448
21	25	0.17435339	0.0107716575	0.2468096800
21	26	0.21357410	0.0105639233	0.2468434235
21	27	0.25131443	0.0104086875	0.2478491871
21	28	0.28768207	0.0104556487	0.2535360057
21	29	0.32277339	0.0100079814	0.2469762179
21	30	0.35667494	0.0098630682	0.2475610479
21	31	0.38946477	0.0096845994	0.2470996646
21	32	0.42121347	0.0095307570	0.2470654591
21	33	0.45198512	0.0094053050	0.2475936498
21	34	0.48183809	0.0092441395	0.2470106040
21	35	0.51082562	0.0093147948	0.2525323168
21	36	0.53899650	0.0090191026	0.2479843208
21	37	0.56639547	0.0088681301	0.2471966407
21	38	0.59306372	0.0087452068	0.2470424191
21	39	0.61903921	0.0086657347	0.2479975207
21	40	0.64435702	0.0085156899	0.2468081406
21	41	0.66904963	0.0084483130	0.2478971702
21	42	0.69314718	0.0097254425	0.2888309074
21	43	0.71667768	0.0082662712	0.2484011062
21	44	0.73966720	0.0081388461	0.2473995023
21	45	0.76214005	0.0080631229	0.2478672706
21	46	0.78411896	0.0079458439	0.2469611220
21	47	0.80562516	0.0078835669	0.2476745229
21	48	0.82667857	0.0078123563	0.2480346244
21	49	0.84729786	0.0078235921	0.2509654218
21	50	0.86750057	0.0076253522	0.2470896530
22	22	0.00000000	0.0149663623	0.3292599717
22	23	0.04445176	0.0110343555	0.2482116891
22	24	0.08701138	0.0107813305	0.2477361146
22	25	0.12783337	0.0105305702	0.2469637631
22	26	0.16705408	0.0103378709	0.2472459123
22	27	0.20479441	0.0101211368	0.2466735111
22	28	0.24116206	0.0099607326	0.2472188819
22	29	0.27625338	0.0097827399	0.2470989189
22	30	0.31015493	0.0096184898	0.2471034762
22	31	0.34294475	0.0094490844	0.2467640639
22	32	0.37469345	0.0093172909	0.2472156633
22	33	0.40546511	0.0096634643	0.2603761224
22	34	0.43531807	0.0090429862	0.2473219526
22	35	0.46430561	0.0089103999	0.2472535616
22	36	0.49247649	0.0087942221	0.2474913488
22	37	0.51987546	0.0086655330	0.2472335939
22	38	0.54654371	0.0085530637	0.2473004146
22	39	0.57251919	0.0084412149	0.2472570024
22	40	0.59783700	0.0083209107	0.2468381015
22	41	0.62252961	0.0082236532	0.2469835662
22	42	0.64662716	0.0081540578	0.2478618993
22	43	0.67015766	0.0080736318	0.2483216048
22	44	0.69314718	0.0092750592	0.2885721203
22	45	0.71562004	0.0078863991	0.2481397557
22	46	0.73759894	0.0077809975	0.2475286847
22	47	0.75910515	0.0076977921	0.2475292051
22	48	0.78015856	0.0076220083	0.2476859515
22	49	0.80077784	0.0075250841	0.2470704112
22	50	0.82098055	0.0074603495	0.2474318015
23	23	0.00000000	0.0143024860	0.3289571784
23	24	0.04255961	0.0105849835	0.2486908020
23	25	0.08338161	0.0103060805	0.2471311282
23	26	0.12260232	0.0100944450	0.2468499478
23	27	0.16034265	0.0098973616	0.2466409797
23	28	0.19671029	0.0097176575	0.2466065005
23	29	0.23180161	0.0095631539	0.2469812937
23	30	0.26570317	0.0093863982	0.2465605095
23	31	0.29849299	0.0092429074	0.2468046663
23	32	0.33024169	0.0090928807	0.2466836686
23	33	0.36101335	0.0089509401	0.2465979938
23	34	0.39086631	0.0088324981	0.2469942980
23	35	0.41985385	0.0087203176	0.2474174013
23	36	0.44802472	0.0085839327	0.2470025697
23	37	0.47542370	0.0084682966	0.2470363378
23	38	0.50209194	0.0083544193	0.2469857988
23	39	0.52806743	0.0082472726	0.2470054707
23	40	0.55338524	0.0081235228	0.2463986470
23	41	0.57807785	0.0080385033	0.2468488115
23	42	0.60217540	0.0079518138	0.2471466718
23	43	0.62570590	0.0078642384	0.2473174820
23	44	0.64869542	0.0077698811	0.2471750480
23	45	0.67116827	0.0077036548	0.2478374819
23	46	0.69314718	0.0088637296	0.2883097530
23	47	0.71465339	0.0075530160	0.2483323241
23	48	0.73570679	0.0074509006	0.2475673135
23	49	0.75632608	0.0073609669	0.2471137000
23	50	0.77652879	0.0072867932	0.2471071807
24	24	0.00000000	0.0137523215	0.3300557164
24	25	0.04082199	0.0101753497	0.2492441466
24	26	0.08004271	0.0099304167	0.2480617292
24	27	0.11778304	0.0097535541	0.2482849538
24	28	0.15415068	0.0096107604	0.2491393842
24	29	0.18924200	0.0093788488	0.2474310263
24	30	0.22314355	0.0093542299	0.2510003268
24	31	0.25593337	0.0090648745	0.2472568120
24	32	0.28768207	0.0091634621	0.2539453100
24	33	0.31845373	0.0088069282	0.2478489276
24	34	0.34830669	0.0086690569	0.2476377986
24	35	0.37729423	0.0085393711	0.2474944889
24	36	0.40546511	0.0088883295	0.2612624645
24	37	0.43286408	0.0083125982	0.2477098486
24	38	0.45953233	0.0082025212	0.2477107092
24	39	0.48550782	0.0081147047	0.2482622248
24	40	0.51082562	0.0081458384	0.2523895710
24	41	0.53551824	0.0078819314	0.2472465281
24	42	0.55961579	0.0078908276	0.2505260083
24	43	0.58314629	0.0077117061	0.2477366826
24	44	0.60613580	0.0076543436	0.2487367254
24	45	0.62860866	0.0075501338	0.2481227172
24	46	0.65058757	0.0074605247	0.2478870898
24	47	0.67209377	0.0074134841	0.2489871380
24	48	0.69314718	0.0085220842	0.2892491297
24	49	0.71376647	0.0072460048	0.2484862025
24	50	0.73396918	0.0071595436	0.2480138663
25	25	0.00000000	0.0132028331	0.3300708273
25	26	0.03922071	0.0097751075	0.2492173196
25	27	0.07696104	0.0095353714	0.2477362166
25	28	0.11332869	0.0093474282	0.2473097030
25	29	0.14842001	0.0091947049	0.2475750071
25	30	0.18232156	0.0091171903	0.2496845388
25	31	0.21511138	0.0088829250	0.2472901657
25	32	0.24686008	0.0087376586	0.2471383059
25	33	0.27763174	0.0086106246	0.2473213623
25	34	0.30748470	0.0084795628	0.2472196132
25	35	0.33647224	0.0084470363	0.2498667037
25	36	0.36464311	0.0082560322	0.2476809664
25	37	0.39204209	0.0081521769	0.2479387796
25	38	0.41871033	0.0080364877	0.2477011864
25	39	0.44468582	0.0079345003	0.2477546921
25	40	0.47000363	0.0078698451	0.2488663547
25	41	0.49469624	0.0077287350	0.2474402509
25	42	0.51879379	0.0076437198	0.2476848309
25	43	0.54232429	0.0075575907	0.2477921825
25	44	0.56531381	0.0074679792	0.2476848485
25	45	0.58778666	0.0074310366	0.2492445447
25	46	0.60976557	0.0072998856	0.2475511654
25	47	0.63127178	0.0072362311	0.2480455037
25	48	0.65232519	0.0071583152	0.2479713109
25	49	0.67294447	0.0071044538	0.2486558832
25	50	0.69314718	0.0081738115	0.2889878766
26	26	0.00000000	0.0126985916	0.3301633805
26	27	0.03774033	0.0094042631	0.2491686091
26	28	0.07410797	0.0091924234	0.2480251440
26	29	0.10919929	0.0090161413	0.2475747693
26	30	0.14310084	0.0088598397	0.2474418580
26	31	0.17589067	0.0087077401	0.2472139523
26	32	0.20763936	0.0085825662	0.2475590604
26	33	0.23841102	0.0084371823	0.2471388815
26	34	0.26826399	0.0083307332	0.2476905048
26	35	0.29725152	0.0082098045	0.2476586547
26	36	0.32542240	0.0080994830	0.2477965302
26	37	0.35282137	0.0079830120	0.2476020983
26	38	0.37948962	0.0078836757	0.2478033771
26	39	0.40546511	0.0082073461	0.2613495321
26	40	0.43078292	0.0076685354	0.2473028368
26	41	0.45547553	0.0075740768	0.2472909979
26	42	0.47957308	0.0075055680	0.2480246701
26	43	0.50310358	0.0074148303	0.2479260248
26	44	0.52609310	0.0073256305	0.2477753065
26	45	0.54856595	0.0072359050	0.2475060330
26	46	0.57054486	0.0071614346	0.2476655609
26	47	0.59205106	0.0070909218	0.2478781816
26	48	0.61310447	0.0070208290	0.2480251302
26	49	0.63372376	0.0069389959	0.2476745278
26	50	0.65392647	0.0068790639	0.2480281766
27	27	0.00000000	0.0122221086	0.3299969322
27	28	0.03636764	0.0090634356	0.2492032784
27	29	0.07145896	0.0088515036	0.2476839878
27	30	0.10536052	0.0087078139	0.2478287296
27	31	0.13815034	0.0085493460	0.2473407209
27	32	0.16989904	0.0084075184	0.2471295599
27	33	0.20067070	0.0082971313	0.2476662417
27	34	0.23052366	0.0081649107	0.2473846670
27	35	0.25951120	0.0080502205	0.2474706390
27	36	0.28768207	0.0081551439	0.2542522236
27	37	0.31508105	0.0078345286	0.2476256428
27	38	0.34174929	0.0077209810	0.2473125564
27	39	0.36772478	0.0076488470	0.2482047902
27	40	0.39304259	0.0075159656	0.2469998334
27	41	0.41773520	0.0074406486	0.2475623555
27	42	0.44183275	0.0073706260	0.2482052161
27	43	0.46536325	0.0072703919	0.2477273368
27	44	0.48835277	0.0071785756	0.2474266636
27	45	0.51082562	0.0072527643	0.2528085165
27	46	0.53280453	0.0070223286	0.2474810478
27	47	0.55431074	0.0069626888	0.2480320474
27	48	0.57536414	0.0068977843	0.2483202335
27	49	0.59598343	0.0068056185	0.2475412191
27	50	0.61618614	0.0067360048	0.2474966196
28	28	0.00000000	0.0118010531	0.3304294862
28	29	0.03509132	0.0087633837	0.2497179966
28	30	0.06899287	0.0085569432	0.2480037751
28	31	0.10178269	0.0084011176	0.2475123803
28	32	0.13353139	0.0083112122	0.2487816670
28	33	0.16430305	0.0081364037	0.2473252599
28	34	0.19415601	0.0080301812	0.2477672040
28	35	0.22314355	0.0080418923	0.2517510484
28	36	0.25131443	0.0078389745	0.2488797256
28	37	0.27871340	0.0077009787	0.2478710461
28	38	0.30538165	0.0075974191	0.2478203115
28	39	0.33135714	0.0074939881	0.2476420076
28	40	0.35667494	0.0074138688	0.2481155061
28	41	0.38136756	0.0073036230	0.2474624396
28	42	0.40546511	0.0076289321	0.2616178722
28	43	0.42899561	0.0071473606	0.2480041424
28	44	0.45198512	0.0070837011	0.2486368980
28	45	0.47445798	0.0069783427	0.2477065942
28	46	0.49643689	0.0069006511	0.2476555125
28	47	0.51794309	0.0068422663	0.2482149410
28	48	0.53899650	0.0067898792	0.2489210815
28	49	0.55961579	0.0067638643	0.2505370389
28	50	0.57981850	0.0066221342	0.2477775745
29	29	0.00000000	0.0114092729	0.3308689139
29	30	0.03390155	0.0084564804	0.2494303353
29	31	0.06669137	0.0082776053	0.2481901603
29	32	0.09844007	0.0081316269	0.2477145008
29	33	0.12921173	0.0080013882	0.2475262775
29	34	0.15906469	0.0078892141	0.2477263465
29	35	0.18805223	0.0077858323	0.2480493360
29	36	0.21622311	0.0076743668	0.2479663786
29	37	0.24362208	0.0075686409	0.2479235398
29	38	0.27029033	0.0074647614	0.2478030963
29	39	0.29626582	0.0073799086	0.2481888608
29	40	0.32158362	0.0072594734	0.2472487540
29	41	0.34627624	0.0071844896	0.2477347048
29	42	0.37037379	0.0071086438	0.2480906488
29	43	0.39390429	0.0070324376	0.2483356746
29	44	0.41689380	0.0069459275	0.2481164650
29	45	0.43936666	0.0068588723	0.2477752772
29	46	0.46134557	0.0067840898	0.2477818551
29	47	0.48285177	0.0067244182	0.2482576520
29	48	0.50390518	0.0066528966	0.2482163530
29	49	0.52452447	0.0065749030	0.2478485548
29	50	0.54472718	0.0065111052	0.2479354984
30	30	0.00000000	0.0110053545	0.3301606351
30	31	0.03278982	0.0081787466	0.2494182492
30	32	0.06453852	0.0080019347	0.2479308793
30	33	0.09531018	0.0078791206	0.2479107421
30	34	0.12516314	0.0077541859	0.2476488384
30	35	0.15415068	0.0076976039	0.2494308755
30	36	0.18232156	0.0076154590	0.2502695192
30	37	0.20972053	0.0074302888	0.2475524236
30	38	0.23638878	0.0073331460	0.2475955070
30	39	0.26236426	0.0072571262	0.2482319090
30	40	0.28768207	0.0073259427	0.2537780993
30	41	0.31237469	0.0070497123	0.2472429699
30	42	0.33647224	0.0070404916	0.2499126610
30	43	0.36000273	0.0068982927	0.2477630115
30	44	0.38299225	0.0068184082	0.2477250725
30	45	0.40546511	0.0071082261	0.2611729032
30	46	0.42744401	0.0066679597	0.2477037098
30	47	0.44895022	0.0065953661	0.2476557776
30	48	0.47000363	0.0065800043	0.2496936081
30	49	0.49062292	0.0064558742	0.2475219567
30	50	0.51082562	0.0065329968	0.2530218773
31	31	0.00000000	0.0106605128	0.3304758961
31	32	0.03174870	0.0079196981	0.2494390595
31	33	0.06252036	0.0077474063	0.2477959191
31	34	0.09237332	0.0076329840	0.2478076198
31	35	0.12136086	0.0075242642	0.2478442816
31	36	0.14953173	0.0074175025	0.2477934369
31	37	0.17693071	0.0073184758	0.2478576616
31	38	0.20359896	0.0072153861	0.2476465156
31	39	0.22957444	0.0071275325	0.2478291323
31	40	0.25489225	0.0070193607	0.2471771968
31	41	0.27958486	0.0069489204	0.2477365643
31	42	0.30368241	0.0068699189	0.2478889131
31	43	0.32721291	0.0067893266	0.2478801654
31	44	0.35020243	0.0067052039	0.2476390741
31	45	0.37267529	0.0066274029	0.2475315004
31	46	0.39465419	0.0065653140	0.2479221130
31	47	0.41616040	0.0065063752	0.2483526953
31	48	0.43721381	0.0064294090	0.2480118993
31	49	0.45783309	0.0063520059	0.2475653051
31	50	0.47803580	0.0062915976	0.2477004466
32	32	0.00000000	0.0103278101	0.3304899235
32	33	0.03077166	0.0076749888	0.2494076136
32	34	0.06062462	0.0075302285	0.2483834193
32	35	0.08961216	0.0074079833	0.2479185397
32	36	0.11778304	0.0073355073	0.2489753738
32	37	0.14518201	0.0072028418	0.2478447525
32	38	0.17185026	0.0071070092	0.2478298778
32	39	0.19782574	0.0070169815	0.2478892097
32	40	0.22314355	0.0070224548	0.2512429823
32	41	0.24783616	0.0068322333	0.2474740140
32	42	0.27193372	0.0067660145	0.2480461875
32	43	0.29546421	0.0066876675	0.2480755089
32	44	0.31845373	0.0066233050	0.2485284325
32	45	0.34092659	0.0065261318	0.2476492883
32	46	0.36290549	0.0064579574	0.2477702073
32	47	0.38441170	0.0063993621	0.2481764714
32	48	0.40546511	0.0066762429	0.2616542159
32	49	0.42608440	0.0062530929	0.2476098463
32	50	0.44628710	0.0061949344	0.2477973758
33	33	0.00000000	0.0100104828	0.3303459308
33	34	0.02985296	0.0074539339	0.2496789715
33	35	0.05884050	0.0073080346	0.2483656805
33	36	0.08701138	0.0072090390	0.2484766567
33	37	0.11441035	0.0070936191	0.2478709862
33	38	0.14107860	0.0069919747	0.2475988461
33	39	0.16705408	0.0069244933	0.2484146898
33	40	0.19237189	0.0068037900	0.2471939672
33	41	0.21706451	0.0067316096	0.2476097929
33	42	0.24116206	0.0066654521	0.2481482546
33	43	0.26469255	0.0065797177	0.2478554416
33	44	0.28768207	0.0066752760	0.2543621768
33	45	0.31015493	0.0064355374	0.2479979254
33	46	0.33213384	0.0063562446	0.2476489475
33	47	0.35364004	0.0062940611	0.2478773568
33	48	0.37469345	0.0062372673	0.2482401052
33	49	0.39531274	0.0061672669	0.2479977567
33	50	0.41551544	0.0061067528	0.2480574708
34	34	0.00000000	0.0097280153	0.3307525216
34	35	0.02898754	0.0072500588	0.2501007603
34	36	0.05715841	0.0071064008	0.2486224863
34	37	0.08455739	0.0069970012	0.2481717078
34	38	0.11122564	0.0069026673	0.2481122433
34	39	0.13720112	0.0068116461	0.2480412066
34	40	0.16251893	0.0067095487	0.2474359299
34	41	0.18721154	0.0066348235	0.2477198242
34	42	0.21130909	0.0065691583	0.2482411818
34	43	0.23483959	0.0064843465	0.2479361756
34	44	0.25782911	0.0064117149	0.2479933301
34	45	0.28030197	0.0063402587	0.2480005793
34	46	0.30228087	0.0062666925	0.2478316456
34	47	0.32378708	0.0062115203	0.2483054744
34	48	0.34484049	0.0061439439	0.2482031678
34	49	0.36545977	0.0060692397	0.2477261150
34	50	0.38566248	0.0060137829	0.2479546216
35	35	0.00000000	0.0094638538	0.3312348822
35	36	0.02817088	0.0070475078	0.2501617117
35	37	0.05556985	0.0069091525	0.2486335120
35	38	0.08223810	0.0068059618	0.2482077434
35	39	0.10821358	0.0067211103	0.2483175132
35	40	0.13353139	0.0066541466	0.2489753693
35	41	0.15822401	0.0065464421	0.2479883524
35	42	0.18232156	0.0065438142	0.2508936262
35	43	0.20585205	0.0064001823	0.2482907803
35	44	0.22884157	0.0063250455	0.2482127078
35	45	0.25131443	0.0062800681	0.2492324778
35	46	0.27329333	0.0061799995	0.2479712752
35	47	0.29479954	0.0061272220	0.2485115439
35	48	0.31585295	0.0060534724	0.2481185359
35	49	0.33647224	0.0060460194	0.2503811322
35	50	0.35667494	0.0059563688	0.2491727848
36	36	0.00000000	0.0092039685	0.3313428649
36	37	0.02739897	0.0068603642	0.2503797976
36	38	0.05406722	0.0067272397	0.2488169451
36	39	0.08004271	0.0066464769	0.2490434083
36	40	0.10536052	0.0065496116	0.2485402841
36	41	0.13005313	0.0064528806	0.2479115763
36	42	0.15415068	0.0064329920	0.2501433198
